,BZH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1.9,7.14,Valuation,0.2661064425770308
Price/Sales (TTM),0.18,7.33,Valuation,0.02455661664392906
Price/Book (MRQ),0.45,2.07,Valuation,0.2173913043478261
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.23329999999999998,0.3091,Profitability,0.7547719184729861
Operating Profit Margin (TTM),0.1177,0.1507,Profitability,0.781021897810219
Net Profit Margin (TTM),0.0953,0.11320000000000001,Profitability,0.8418727915194345
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.6043000000000001,-0.0688,Gowth rates,-8.78343023255814
EPS Growth (TTM),0.7929,0.16670000000000001,Gowth rates,4.756448710257948
Revenue Growth (MRQ),0.5715,0.1173,Gowth rates,4.872122762148337
Revenue Growth (TTM),0.08259999999999999,0.149,Gowth rates,0.5543624161073826
Return On Equity (TTM),0.26530000000000004,0.38439999999999996,Effectiveness,0.6901664932362125
Return On Assets (TTM),0.10189999999999999,0.135,Effectiveness,0.7548148148148147
Return On Investment (TTM),0.1173,0.1699,Effectiveness,0.6904061212477929
Revenue Per Employee (TTM),2052248.0,1633986.0,Effectiveness,1.255976489394646
Total Debt/Total Capital (MRQ),0.5115,0.29309999999999997,Financial strength,1.745138178096213
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002,-0.0005,Financial strength,2.8000000000000003
Quick Ratio (MRQ),,0.53,Financial strength,
Interest Coverage (MRQ),,51.09,Financial strength,
