,LFST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),2.34,1.32,Valuation,1.7727272727272725
Price/Book (MRQ),1.25,4.31,Valuation,0.2900232018561485
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),-0.3396,0.0458,Profitability,-7.414847161572053
Net Profit Margin (TTM),-0.33770000000000006,0.0242,Profitability,-13.954545454545457
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.455,-0.1478,Gowth rates,-3.0784844384303116
EPS Growth (TTM),-0.1118,-1.101,Gowth rates,0.10154405086285195
Revenue Growth (MRQ),0.0383,0.0931,Gowth rates,0.4113856068743287
Revenue Growth (TTM),0.37700000000000006,0.1191,Gowth rates,3.1654072208228383
Return On Equity (TTM),-0.18,7.2022,Effectiveness,-0.024992363444503066
Return On Assets (TTM),-0.14220000000000002,0.0403,Effectiveness,-3.5285359801488836
Return On Investment (TTM),-0.1506,0.016,Effectiveness,-9.4125
Revenue Per Employee (TTM),123614.0,1375304.0,Effectiveness,0.0898812189886745
Total Debt/Total Capital (MRQ),0.1227,0.4855,Financial strength,0.25272914521112255
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0015,Financial strength,2.0
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-8.92,9.55,Financial strength,-0.9340314136125654
