,LFST
% Above Low,0.0692
% Held by Institutions,0.8240999999999999
52-Wk Range,['4.77 - 11.25']
Annual Dividend $,
Annual Dividend %,
Ask,6.89
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,4.5
Bid Size,100.0
Closing Price,5.1
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),200.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.1
Short Interest,0.1255
Today's Open,
Volume,146591.0
Volume 10-day Avg,682900.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.21311475409836067
Growth 2yr High Est,-0.6206896551724137
Growth 2yr Consensus Est,-0.4169022046353872
Growth 5yr Low Est,-0.21311475409836067
Growth 5yr High Est,-0.6206896551724137
Growth 5yr Consensus Est,-0.4169022046353872
Growth 5yr Actual/Est,-0.4226190476190476
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.33795
Price/Book (MRQ),1.25224
Price/Cash Flow (TTM),
5yr Low,4.77
5yr High,29.81
5yr Avg Return,-0.49989999999999996
Short Int Current Month,9715386.0
Short Int Prev Month,9813516.0
Short Int Pct of Float,0.1254772
Days to Cover,10.94647
Float,317.9055
Shares Outstanding,375.9864
Institutions Holding Shares,116.0
FCF Growth 5yr,0.08060756469618184
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.3396
Net Profit Margin (TTM),-0.33770000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.455
EPS Growth (TTM),-0.1118
Revenue Growth (MRQ),0.0383
Revenue Growth (TTM),0.37700000000000006
Return On Equity (TTM),-0.18
Return On Assets (TTM),-0.14220000000000002
Return On Investment (TTM),-0.1506
Revenue Per Employee (TTM),123614.0
Total Debt/Total Capital (MRQ),0.1227
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-8.92
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-11 00:00:00
theStreet since,2022-08-11 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
