,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.81,11.25,,,,,
low,7.64,4.77,,,,,
change,-0.524,-0.4758,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,148.0,114.0,97.0,90.0,Balance Sheet
"Total Receivables, Net",,,76.0,95.0,100.0,113.0,Balance Sheet
Prepaid Expenses,,,42.0,54.0,48.0,49.0,Balance Sheet
Total Current Assets,,,267.0,263.0,244.0,253.0,Balance Sheet
Buildings,,,88.0,110.0,137.0,147.0,Balance Sheet
Machinery/Equipment,,,23.0,25.0,28.0,30.0,Balance Sheet
Construction in Progress,,,41.0,36.0,24.0,21.0,Balance Sheet
Other Prop./Plant/Equip.,,,20.0,26.0,34.0,36.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,172.0,196.0,223.0,233.0,Balance Sheet
Accumulated Depreciation,,,-20.0,-25.0,-32.0,-39.0,Balance Sheet
Prop./Plant/Equip. - Net,,,152.0,171.0,191.0,193.0,Balance Sheet
"Goodwill, Net",,,1205.0,1229.0,1244.0,1250.0,Balance Sheet
Intangibles - Gross,,,363.0,363.0,364.0,365.0,Balance Sheet
Accum. Intangible Amort.,,,-62.0,-72.0,-82.0,-92.0,Balance Sheet
Intangibles - Net,,,300.0,291.0,282.0,272.0,Balance Sheet
Other Long Term Assets,,,3.0,4.0,8.0,11.0,Balance Sheet
Total Assets,,,1927.0,1958.0,1969.0,1980.0,Balance Sheet
Accounts Payable,,,14.0,15.0,13.0,8.0,Balance Sheet
Accrued Expenses,,,87.0,95.0,87.0,91.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,1.0,1.0,2.0,2.0,Balance Sheet
"Other Curr. Lblts, Total",,,15.0,14.0,10.0,11.0,Balance Sheet
Total Current Liabilities,,,117.0,126.0,112.0,112.0,Balance Sheet
Total Long Term Debt,,,157.0,177.0,203.0,212.0,Balance Sheet
Total Debt,,,159.0,179.0,205.0,214.0,Balance Sheet
Deferred Income Tax,,,54.0,54.0,54.0,55.0,Balance Sheet
"Other Liabilities, Total",,,54.0,59.0,68.0,68.0,Balance Sheet
Total Liabilities,,,382.0,416.0,437.0,448.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,1898.0,1958.0,2016.0,2051.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-357.0,-419.0,-488.0,-526.0,Balance Sheet
"Other Equity, Total",,,,,,3.0,Balance Sheet
Total Equity,,,1545.0,1543.0,1531.0,1532.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1927.0,1958.0,1969.0,1980.0,Balance Sheet
Ttl Comm. Shares Outs.,,,374.0,374.0,376.0,376.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,189995.0,203095.0,209527.0,217560.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,151539.0,101575.0,102708.0,80382.0,Income Statement
Depreciation,,,5450.0,5727.0,6750.0,7680.0,Income Statement
Amortiz of Intangibles,,,9907.0,9957.0,9993.0,10204.0,Income Statement
