,SKX
% Above Low,0.2775
% Held by Institutions,0.9538
52-Wk Range,['31.28 - 49.89']
Annual Dividend $,
Annual Dividend %,
Ask,39.96
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.3
Bid,39.94
Bid Size,200.0
Day Change $,-0.14
Day Change %,-0.0034999999999999996
Day High,40.38
Day Low,39.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.45
Ex-dividend Date,No dividend
Historical Volatility,0.462
Last (size),26.0
Last (time),2:28p ET 11/28/22
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.02
Prev Close,40.1
Price,39.96
Short Interest,0.036699999999999997
Today's Open,39.69
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.10931174089068829
Growth 1yr High Est,-0.13584905660377355
Growth 1yr Consensus Est,-0.12258039874723092
Growth 2yr Low Est,0.038525947736474
Growth 2yr High Est,0.1635165197330477
Growth 2yr Consensus Est,0.10102123373476085
Growth 5yr Low Est,0.04616880346464958
Growth 5yr High Est,0.12232843530512039
Growth 5yr Consensus Est,0.08424861938488498
Growth 5yr Actual/Est,0.6188908688908688
Growth 3yr Historic,0.5683760683760684
Price/Earnings (TTM),9.01683
Price/Sales (TTM),0.86219
Price/Book (MRQ),1.79823
Price/Cash Flow (TTM),6.85001
5yr Low,17.06
5yr High,55.87
5yr Avg Return,0.09330000000000002
EPS Growth 5yr,0.24642679999999997
Revenue Growth 5yr,0.1201875
Dividend Growth 5yr,
Short Int Current Month,4875538.0
Short Int Prev Month,5599039.0
Short Int Pct of Float,0.0367264
Days to Cover,2.59975
Float,132.7738
Shares Outstanding,155.1008
Institutions Holding Shares,407.0
FCF Growth 5yr,11.145667989417989
"Price/Earnings (TTM, GAAP)",9.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4722
Operating Profit Margin (TTM),0.0767
Net Profit Margin (TTM),0.1051
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0468
EPS Growth (TTM),0.8264
Revenue Growth (MRQ),0.005699999999999999
Revenue Growth (TTM),0.2064
Return On Equity (TTM),0.22190000000000001
Return On Assets (TTM),0.12060000000000001
Return On Investment (TTM),0.16690000000000002
Revenue Per Employee (TTM),1163492.0
Total Debt/Total Capital (MRQ),0.095
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.14
Interest Coverage (MRQ),25.48
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-08-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-04-25 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
