,ALSN
% Below High,0.014499999999999999
% Held by Institutions,1.0027
52-Wk Range,['32.63 - 44.70']
Annual Dividend $,0.84
Annual Dividend %,0.0191
Ask,45.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,43.0
Bid Size,100.0
Closing Price,44.05
Day Change $,-0.45
Day Change %,-0.0101
Day High,44.62
Day Low,43.84
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",5.18
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.308
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.51
Prev Close,44.5
Short Interest,0.029300000000000003
Today's Open,44.57
Volume,245515.0
Volume 10-day Avg,744791.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.11111111111111116
Growth 1yr High Est,0.1499999999999999
Growth 1yr Consensus Est,0.13055555555555554
Growth 2yr Low Est,0.016339869281045805
Growth 2yr High Est,0.22804347826086946
Growth 2yr Consensus Est,0.12219167377095763
Growth 5yr Low Est,0.008169934640522902
Growth 5yr High Est,0.11402173913043473
Growth 5yr Consensus Est,0.061095836885478816
Growth 5yr Actual/Est,0.10407566407859725
Growth 3yr Historic,0.007392718047664948
Price/Earnings (TTM),8.50537
Price/Sales (TTM),1.51176
Price/Book (MRQ),5.40398
Price/Cash Flow (TTM),6.1451
5yr Low,26.15
5yr High,53.76
5yr Avg Return,0.02698333333333334
EPS Growth 5yr,0.2654214
Revenue Growth 5yr,0.0547307
Dividend Growth 5yr,0.048413199999999997
Short Int Current Month,2684258.0
Short Int Prev Month,3293079.0
Short Int Pct of Float,0.029275199999999998
Days to Cover,3.36171
Float,91.72124
Shares Outstanding,92.49045
Institutions Holding Shares,418.0
FCF Growth 5yr,0.18753927232188097
"Price/Earnings (TTM, GAAP)",8.51
"PEG Ratio (TTM, GAAP)",0.65
Gross Profit Margin (TTM),0.4686
Operating Profit Margin (TTM),0.28500000000000003
Net Profit Margin (TTM),0.18850000000000003
Annual Dividend Yield,0.0191
Dividend Change %,0.1176
"Dividend Growth Rate, 3 Years",0.08199999999999999
EPS Growth (MRQ),0.1529
EPS Growth (TTM),0.48240000000000005
Revenue Growth (MRQ),0.0693
Revenue Growth (TTM),0.1753
Return On Equity (TTM),0.6916
Return On Assets (TTM),0.11130000000000001
Return On Investment (TTM),0.12400000000000001
Revenue Per Employee (TTM),792647.0
Total Debt/Total Capital (MRQ),0.767
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),5.08
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-06-10 00:00:00
