,ALSN
Price/Earnings (TTM),8.50537
Price/Sales (TTM),1.51176
Price/Book (MRQ),5.40398
Price/Cash Flow (TTM),6.1451
5yr Low,26.15
5yr High,53.76
5yr Avg Return,0.02698333333333334
EPS Growth 5yr,0.2654214
Revenue Growth 5yr,0.0547307
Dividend Growth 5yr,0.048413199999999997
Short Int Current Month,2684258.0
Short Int Prev Month,3293079.0
Short Int Pct of Float,0.029275199999999998
Days to Cover,3.36171
Float,91.72124
Shares Outstanding,92.49045
Institutions Holding Shares,418.0
% Held by Institutions,1.002744
FCF Growth 5yr,0.18753927232188097
