,ALSN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.51,24.01,Valuation,0.3544356518117451
Price/Sales (TTM),1.51,3.06,Valuation,0.49346405228758167
Price/Book (MRQ),5.4,7.44,Valuation,0.7258064516129032
"PEG Ratio (TTM, GAAP)",0.65,1.49,Valuation,0.43624161073825507
Gross Profit Margin (TTM),0.4686,0.32799999999999996,Profitability,1.4286585365853661
Operating Profit Margin (TTM),0.28500000000000003,0.0198,Profitability,14.393939393939394
Net Profit Margin (TTM),0.18850000000000003,-0.0086,Profitability,-21.918604651162795
Annual Dividend Yield,0.0191,0.0143,Dividend,1.3356643356643356
Dividend Change %,0.1176,0.1666,Dividend,0.7058823529411764
"Dividend Growth Rate, 3 Years",0.08199999999999999,0.0885,Dividend,0.9265536723163841
EPS Growth (MRQ),0.1529,0.3518,Gowth rates,0.43462194428652645
EPS Growth (TTM),0.48240000000000005,0.16149999999999998,Gowth rates,2.9869969040247684
Revenue Growth (MRQ),0.0693,0.196,Gowth rates,0.35357142857142854
Revenue Growth (TTM),0.1753,0.1475,Gowth rates,1.1884745762711866
Return On Equity (TTM),0.6916,0.2859,Effectiveness,2.4190276320391746
Return On Assets (TTM),0.11130000000000001,0.0851,Effectiveness,1.3078730904817863
Return On Investment (TTM),0.12400000000000001,0.12490000000000001,Effectiveness,0.9927942353883107
Revenue Per Employee (TTM),792647.0,343373.0,Effectiveness,2.3084138822796203
Total Debt/Total Capital (MRQ),0.767,0.6352000000000001,Financial strength,1.2074937027707806
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0189,Financial strength,-0.005291005291005292
Quick Ratio (MRQ),1.26,1.07,Financial strength,1.1775700934579438
Interest Coverage (MRQ),5.08,20.9,Financial strength,0.2430622009569378
