,KNSA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.89,471.78,Valuation,0.016723896731527407
Price/Sales (TTM),6.19,45.03,Valuation,0.13746391294692428
Price/Book (MRQ),2.85,12.61,Valuation,0.22601110229976212
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8867,0.5874,Profitability,1.5095335376234253
Operating Profit Margin (TTM),-0.18300000000000002,-4.7459,Profitability,0.03855959881160581
Net Profit Margin (TTM),0.8053,-4.5467,Profitability,-0.17711746981327114
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),12.014600000000002,-0.0014000000000000002,Gowth rates,-8581.857142857143
EPS Growth (TTM),1.7783000000000002,0.027200000000000002,Gowth rates,65.37867647058823
Revenue Growth (MRQ),2.6755,1.3963999999999999,Gowth rates,1.915998281294758
Revenue Growth (TTM),7.9419,0.9747,Gowth rates,8.148045552477686
Return On Equity (TTM),0.4768,0.1967,Effectiveness,2.42399593289273
Return On Assets (TTM),0.4,0.0016,Effectiveness,250.0
Return On Investment (TTM),0.4585,0.0219,Effectiveness,20.936073059360734
Revenue Per Employee (TTM),823447.0,1476201.0,Effectiveness,0.5578149588030357
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),4.02,2.06,Financial strength,1.9514563106796114
Interest Coverage (MRQ),,2.69,Financial strength,
