,TFC
% Above Low,0.1329
% Held by Institutions,0.7173999999999999
52-Wk Range,['40.01 - 68.95']
Annual Dividend $,2.08
Annual Dividend %,0.0443
Ask,46.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,45.32
Bid Size,100.0
Change Since Close,0.01| |(0.02%)
Closing Price,45.32
Day Change $,-1.6
Day Change %,-0.0341
Day High,46.65
Day Low,45.23
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",4.36
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.32299999999999995
Last (size),10.0
Last (time),4:10p ET 11/28/22
Last Trade,45.33
Market Cap,60.1B
"P/E Ratio (TTM, GAAP)",10.76
Prev Close,46.92
Short Interest,0.012199999999999999
Today's Open,46.43
Volume,5765021.0
Volume 10-day Avg,5194018.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.10280373831775702
Growth 1yr High Est,-0.06921675774134783
Growth 1yr Consensus Est,-0.08601024802955243
Growth 2yr Low Est,-0.11911020249221177
Growth 2yr High Est,0.011379879446351548
Growth 2yr Consensus Est,-0.05386516152293011
Growth 5yr Low Est,0.05138761827190888
Growth 5yr High Est,0.08086326002840566
Growth 5yr Consensus Est,0.06612543915015727
Growth 5yr Actual/Est,0.0856461129339263
Growth 3yr Historic,0.0989643043251694
Price/Earnings (TTM),10.76253
Price/Sales (TTM),2.77997
Price/Book (MRQ),1.15036
Price/Cash Flow (TTM),8.65691
5yr Low,24.01
5yr High,68.95
5yr Avg Return,0.007550000000000002
EPS Growth 5yr,0.1003211
Revenue Growth 5yr,0.1428186
Dividend Growth 5yr,0.1009384
Short Int Current Month,16150965.0
Short Int Prev Month,15171336.0
Short Int Pct of Float,0.012213
Days to Cover,2.26199
Float,1322.791
Shares Outstanding,1326.766
Institutions Holding Shares,1772.0
FCF Growth 5yr,0.0
"Price/Earnings (TTM, GAAP)",10.76
"PEG Ratio (TTM, GAAP)",5.28
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.34020000000000006
Net Profit Margin (TTM),0.2763
Annual Dividend Yield,0.0443
Dividend Change %,0.0333
"Dividend Growth Rate, 3 Years",0.0708
EPS Growth (MRQ),0.0581
EPS Growth (TTM),0.0285
Revenue Growth (MRQ),0.1895
Revenue Growth (TTM),0.059800000000000006
Return On Equity (TTM),0.10039999999999999
Return On Assets (TTM),0.0115
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-18 00:00:00
theStreet since,2020-10-09 00:00:00
cfra since,2022-10-18 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
