,EPAM
% Above Low,1.071
% Held by Institutions,0.9495999999999999
52-Wk Range,['168.59 - 719.56']
Annual Dividend $,
Annual Dividend %,
Ask,349.99
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.6
Bid,320.0
Bid Size,500.0
Closing Price,349.15
Day Change $,0.29
Day Change %,0.0008
Day High,352.71
Day Low,344.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.87
Ex-dividend Date,No dividend
Historical Volatility,0.9390000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,20.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",50.84
Prev Close,348.86
Short Interest,0.0178
Today's Open,345.8
Volume,134548.0
Volume 10-day Avg,344370.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.21371428571428552
Growth 1yr High Est,0.2063134160090192
Growth 1yr Consensus Est,0.21001385086165236
Growth 2yr Low Est,0.16382512779122949
Growth 2yr High Est,0.21764268931292086
Growth 2yr Consensus Est,0.19073390855207517
Growth 5yr Low Est,0.22499731682542023
Growth 5yr High Est,0.2525608447514161
Growth 5yr Consensus Est,0.23877908078841817
Growth 5yr Actual/Est,0.236688006382949
Growth 3yr Historic,0.14929662309241393
Price/Earnings (TTM),50.84136
Price/Sales (TTM),4.27174
Price/Book (MRQ),7.28169
Price/Cash Flow (TTM),40.21161
5yr Low,96.11
5yr High,725.4
5yr Avg Return,0.3345666666666667
EPS Growth 5yr,0.3431628
Revenue Growth 5yr,0.2650078
Dividend Growth 5yr,
Short Int Current Month,993325.0
Short Int Prev Month,979448.0
Short Int Pct of Float,0.0178299
Days to Cover,1.96449
Float,55.71042
Shares Outstanding,57.51349
Institutions Holding Shares,882.0
FCF Growth 5yr,-5.832125603864735
"Price/Earnings (TTM, GAAP)",50.84
"PEG Ratio (TTM, GAAP)",2.69
Gross Profit Margin (TTM),0.3233
Operating Profit Margin (TTM),0.12090000000000001
Net Profit Margin (TTM),0.08650000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),7.3404
EPS Growth (TTM),-0.0472
Revenue Growth (MRQ),0.0268
Revenue Growth (TTM),0.3932
Return On Equity (TTM),0.15960000000000002
Return On Assets (TTM),0.11660000000000001
Return On Investment (TTM),0.1448
Revenue Per Employee (TTM),79914.0
Total Debt/Total Capital (MRQ),0.0129
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-02-28 00:00:00
researchTeam since,2020-12-28 00:00:00
cfra since,2020-05-07 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
