,EPAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",50.84,53.11,Valuation,0.9572585200527208
Price/Sales (TTM),4.27,19.35,Valuation,0.22067183462532297
Price/Book (MRQ),7.28,19.03,Valuation,0.38255386232264843
"PEG Ratio (TTM, GAAP)",2.69,3.41,Valuation,0.7888563049853372
Gross Profit Margin (TTM),0.3233,0.44520000000000004,Profitability,0.726190476190476
Operating Profit Margin (TTM),0.12090000000000001,0.3027,Profitability,0.3994053518334985
Net Profit Margin (TTM),0.08650000000000001,0.23600000000000002,Profitability,0.3665254237288136
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),7.3404,-3.5569,Gowth rates,-2.063707160729849
EPS Growth (TTM),-0.0472,0.15560000000000002,Gowth rates,-0.3033419023136246
Revenue Growth (MRQ),0.0268,0.16460000000000002,Gowth rates,0.16281895504252733
Revenue Growth (TTM),0.3932,0.2273,Gowth rates,1.7298724153101628
Return On Equity (TTM),0.15960000000000002,0.5459,Effectiveness,0.29236123832203703
Return On Assets (TTM),0.11660000000000001,0.1131,Effectiveness,1.030946065428824
Return On Investment (TTM),0.1448,0.18910000000000002,Effectiveness,0.765732416710735
Revenue Per Employee (TTM),79914.0,686074.0,Effectiveness,0.11648014645650469
Total Debt/Total Capital (MRQ),0.0129,0.5613,Financial strength,0.02298236237306253
Change in Debt/Total Capital Quarter over Quarter,0.0025,0.0048,Financial strength,0.5208333333333334
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
