,BWXT
% Below High,0.0302
% Held by Institutions,1.0063
52-Wk Range,['42.58 - 62.84']
Annual Dividend $,0.88
Annual Dividend %,0.0144
Ask,62.1
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.8
Bid,42.36
Bid Size,100.0
Closing Price,60.94
Day Change $,0.64
Day Change %,0.0106
Day High,61.4
Day Low,60.4
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",3.39
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.29600000000000004
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.96
Prev Close,60.3
Short Interest,0.0311
Today's Open,60.76
Volume,150517.0
Volume 10-day Avg,856766.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.026490066225165476
Growth 1yr High Est,0.02941176470588225
Growth 1yr Consensus Est,0.027950915465523862
Growth 2yr Low Est,-0.03191625720999797
Growth 2yr High Est,-0.009103641456582656
Growth 2yr Consensus Est,-0.02050994933329031
Growth 5yr Low Est,0.029826185120491205
Growth 5yr High Est,0.04240255961220793
Growth 5yr Consensus Est,0.03611437236634957
Growth 5yr Actual/Est,0.02814701010421622
Growth 3yr Historic,0.041597384929332626
Price/Earnings (TTM),17.95871
Price/Sales (TTM),2.52613
Price/Book (MRQ),7.79944
Price/Cash Flow (TTM),14.40514
5yr Low,35.91
5yr High,72.18
5yr Avg Return,0.05049999999999999
EPS Growth 5yr,0.12917389999999998
Revenue Growth 5yr,0.0649654
Dividend Growth 5yr,0.18466449999999998
Short Int Current Month,2824786.0
Short Int Prev Month,3040356.0
Short Int Pct of Float,0.0310882
Days to Cover,3.99265
Float,90.86396
Shares Outstanding,91.22229
Institutions Holding Shares,407.0
FCF Growth 5yr,-1.1603961287774425
"Price/Earnings (TTM, GAAP)",17.96
"PEG Ratio (TTM, GAAP)",9.5
Gross Profit Margin (TTM),0.24530000000000002
Operating Profit Margin (TTM),0.1585
Net Profit Margin (TTM),0.142
Annual Dividend Yield,0.0144
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.0949
EPS Growth (MRQ),-0.1754
EPS Growth (TTM),0.2691
Revenue Growth (MRQ),-0.055
Revenue Growth (TTM),0.0534
Return On Equity (TTM),0.48350000000000004
Return On Assets (TTM),0.1211
Return On Investment (TTM),0.1435
Revenue Per Employee (TTM),333429.0
Total Debt/Total Capital (MRQ),0.6529
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),2.01
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-16 00:00:00
ford since,2022-09-16 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-03-18 00:00:00
