,BWXT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.96,50.64,Valuation,0.35466034755134285
Price/Sales (TTM),2.53,4.74,Valuation,0.5337552742616033
Price/Book (MRQ),7.8,4.28,Valuation,1.822429906542056
"PEG Ratio (TTM, GAAP)",9.5,1.95,Valuation,4.871794871794872
Gross Profit Margin (TTM),0.24530000000000002,0.19460000000000002,Profitability,1.2605344295991778
Operating Profit Margin (TTM),0.1585,-0.5263,Profitability,-0.30115903477104317
Net Profit Margin (TTM),0.142,-0.5391,Profitability,-0.26340196624002965
Annual Dividend Yield,0.0144,0.0139,Dividend,1.0359712230215827
Dividend Change %,0.10529999999999999,0.0564,Dividend,1.8670212765957446
"Dividend Growth Rate, 3 Years",0.0949,0.0055000000000000005,Dividend,17.254545454545454
EPS Growth (MRQ),-0.1754,-3.8235,Gowth rates,0.04587419903230025
EPS Growth (TTM),0.2691,0.2595,Gowth rates,1.0369942196531792
Revenue Growth (MRQ),-0.055,0.0689,Gowth rates,-0.7982583454281568
Revenue Growth (TTM),0.0534,0.0147,Gowth rates,3.6326530612244903
Return On Equity (TTM),0.48350000000000004,0.1825,Effectiveness,2.649315068493151
Return On Assets (TTM),0.1211,0.047,Effectiveness,2.576595744680851
Return On Investment (TTM),0.1435,0.0521,Effectiveness,2.7543186180422263
Revenue Per Employee (TTM),333429.0,411752.0,Effectiveness,0.8097811303891663
Total Debt/Total Capital (MRQ),0.6529,0.5861,Financial strength,1.113973724620372
Change in Debt/Total Capital Quarter over Quarter,0.0,-0.0001,Financial strength,-0.0
Quick Ratio (MRQ),2.01,1.06,Financial strength,1.8962264150943393
Interest Coverage (MRQ),,7.88,Financial strength,
