,CERT
% Above Low,0.49810000000000004
% Held by Institutions,0.8653
52-Wk Range,['10.60 - 29.99']
Annual Dividend $,
Annual Dividend %,
Ask,15.99
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,
Bid,15.3
Bid Size,100.0
Closing Price,15.88
Day Change $,-0.61
Day Change %,-0.037000000000000005
Day High,16.52
Day Low,15.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.03
Ex-dividend Date,No dividend
Historical Volatility,0.647
Last (size),5100.0
Last (time),12:59p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.49
Short Interest,0.024900000000000002
Today's Open,16.52
Volume,418805.0
Volume 10-day Avg,843273.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.11627906976744184
Growth 2yr High Est,0.25531914893617014
Growth 2yr Consensus Est,0.185799109351806
Growth 5yr Low Est,0.11627906976744184
Growth 5yr High Est,0.25531914893617014
Growth 5yr Consensus Est,0.185799109351806
Growth 5yr Actual/Est,0.5900178253119429
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7.81733
Price/Book (MRQ),2.40642
Price/Cash Flow (TTM),52.62889
5yr Low,10.6
5yr High,45.48
5yr Avg Return,-0.15906666666666666
Short Int Current Month,2908192.0
Short Int Prev Month,2202565.0
Short Int Pct of Float,0.0248728
Days to Cover,2.70005
Float,152.8081
Shares Outstanding,159.673
Institutions Holding Shares,255.0
FCF Growth 5yr,0.9015585950792676
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5989
Operating Profit Margin (TTM),0.0758
Net Profit Margin (TTM),-0.0128
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),7.5585
EPS Growth (TTM),0.9365000000000001
Revenue Growth (MRQ),0.0234
Revenue Growth (TTM),0.1778
Return On Equity (TTM),-0.0040999999999999995
Return On Assets (TTM),-0.0028000000000000004
Return On Investment (TTM),-0.003
Revenue Per Employee (TTM),307739.0
Total Debt/Total Capital (MRQ),0.2177
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.27
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-03-30 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
theStreet since,2022-03-30 00:00:00
newConstructs since,
marketEdge opinion since,
