,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,41.79,45.48,29.04,,,,,
low,29.7,23.75,10.6,,,,,
change,0.1278,-0.1572,-0.44780000000000003,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,186.0,184.0,195.0,211.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,70.0,73.0,74.0,75.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,70.0,73.0,74.0,75.0,Balance Sheet
Other Receivables,,,,,8.0,4.0,6.0,Balance Sheet
"Total Receivables, Net",,,,70.0,80.0,78.0,81.0,Balance Sheet
Prepaid Expenses,,,,19.0,9.0,8.0,6.0,Balance Sheet
Restricted Cash - Current,,,,1.0,1.0,3.0,3.0,Balance Sheet
Other Current Assets,,,,,1.0,1.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,,1.0,2.0,5.0,8.0,Balance Sheet
Total Current Assets,,,,275.0,275.0,286.0,305.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,16.0,17.0,15.0,14.0,Balance Sheet
"Goodwill, Net",,,,703.0,705.0,701.0,697.0,Balance Sheet
Intangibles - Gross,,,,681.0,685.0,685.0,684.0,Balance Sheet
Accum. Intangible Amort.,,,,-169.0,-181.0,-192.0,-203.0,Balance Sheet
Intangibles - Net,,,,512.0,504.0,493.0,482.0,Balance Sheet
Other Long Term Assets,,,,2.0,2.0,3.0,7.0,Balance Sheet
Total Assets,,,,1512.0,1507.0,1502.0,1509.0,Balance Sheet
Accounts Payable,,,,7.0,6.0,5.0,3.0,Balance Sheet
Accrued Expenses,,,,30.0,21.0,24.0,28.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,3.0,3.0,3.0,3.0,Balance Sheet
