,CERT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-5.17,Valuation,
Price/Sales (TTM),7.82,11.27,Valuation,0.6938775510204083
Price/Book (MRQ),2.41,5.79,Valuation,0.4162348877374784
"PEG Ratio (TTM, GAAP)",,0.15,Valuation,
Gross Profit Margin (TTM),0.5989,0.6652,Profitability,0.9003307276007215
Operating Profit Margin (TTM),0.0758,-0.46950000000000003,Profitability,-0.16144834930777424
Net Profit Margin (TTM),-0.0128,-0.4687,Profitability,0.027309579688500108
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),7.5585,-0.6163000000000001,Gowth rates,-12.264319325004056
EPS Growth (TTM),0.9365000000000001,-0.35350000000000004,Gowth rates,-2.649222065063649
Revenue Growth (MRQ),0.0234,0.24050000000000002,Gowth rates,0.09729729729729729
Revenue Growth (TTM),0.1778,0.3728,Gowth rates,0.476931330472103
Return On Equity (TTM),-0.0040999999999999995,-0.09480000000000001,Effectiveness,0.04324894514767932
Return On Assets (TTM),-0.0028000000000000004,-0.1218,Effectiveness,0.02298850574712644
Return On Investment (TTM),-0.003,-0.049,Effectiveness,0.061224489795918366
Revenue Per Employee (TTM),307739.0,454654.0,Effectiveness,0.6768641648374368
Total Debt/Total Capital (MRQ),0.2177,0.2084,Financial strength,1.0446257197696738
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.009000000000000001,Financial strength,-0.07777777777777778
Quick Ratio (MRQ),,0.38,Financial strength,
Interest Coverage (MRQ),5.27,-7.93,Financial strength,-0.6645649432534678
