,KFRC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.75,75.74,Valuation,0.18154211777132295
Price/Sales (TTM),0.72,5.07,Valuation,0.1420118343195266
Price/Book (MRQ),5.88,7.18,Valuation,0.818941504178273
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.2948,0.49210000000000004,Profitability,0.5990652306441779
Operating Profit Margin (TTM),0.0692,0.10619999999999999,Profitability,0.6516007532956686
Net Profit Margin (TTM),0.052300000000000006,0.055,Profitability,0.950909090909091
Annual Dividend Yield,0.0203,0.0074,Dividend,2.743243243243243
Dividend Change %,0.225,0.051100000000000007,Dividend,4.403131115459882
"Dividend Growth Rate, 3 Years",0.1777,0.0489,Dividend,3.633946830265849
EPS Growth (MRQ),-0.16210000000000002,-18.5673,Gowth rates,0.008730402374066236
EPS Growth (TTM),0.2527,-0.2057,Gowth rates,-1.2284880894506562
Revenue Growth (MRQ),0.0025,0.10880000000000001,Gowth rates,0.022977941176470586
Revenue Growth (TTM),0.1167,0.11970000000000001,Gowth rates,0.9749373433583959
Return On Equity (TTM),0.4458,0.1999,Effectiveness,2.2301150575287645
Return On Assets (TTM),0.19010000000000002,0.0565,Effectiveness,3.3646017699115047
Return On Investment (TTM),0.2911,0.0848,Effectiveness,3.4327830188679247
Revenue Per Employee (TTM),850731.0,417216.0,Effectiveness,2.0390660952600093
Total Debt/Total Capital (MRQ),0.0,0.4147,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0070999999999999995,Financial strength,-1.4084507042253522
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),3479.89,18.36,Financial strength,189.53649237472766
