,KFRC
Price/Earnings (TTM),13.74932
Price/Sales (TTM),0.71929
Price/Book (MRQ),5.87905
Price/Cash Flow (TTM),13.12953
5yr Low,20.6
5yr High,81.47
5yr Avg Return,0.18244999999999997
EPS Growth 5yr,0.2322619
Revenue Growth 5yr,0.036648900000000005
Dividend Growth 5yr,0.1534452
Short Int Current Month,626980.0
Short Int Prev Month,770478.0
Short Int Pct of Float,0.0320719
Days to Cover,4.6074
Float,19.62937
Shares Outstanding,20.75365
Institutions Holding Shares,259.0
% Held by Institutions,0.88046
FCF Growth 5yr,0.16102799829949951
