,MGRC
% Below High,0.0262
% Held by Institutions,0.8493999999999999
52-Wk Range,['71.17 - 100.30']
Annual Dividend $,1.82
Annual Dividend %,0.018600000000000002
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,97.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.24
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.273
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.04
Prev Close,97.67
Short Interest,0.006999999999999999
Today's Open,
Volume,50522.0
Volume 10-day Avg,109489.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.22777777777777763
Growth 1yr High Est,0.2195121951219512
Growth 1yr Consensus Est,0.2236449864498644
Growth 2yr Low Est,0.11841377576671686
Growth 2yr High Est,0.14197831978319786
Growth 2yr Consensus Est,0.13019604777495736
Growth 5yr Low Est,0.04920688788335845
Growth 5yr High Est,0.06122353489159893
Growth 5yr Consensus Est,0.05521521138747869
Growth 5yr Actual/Est,0.04875692305915269
Growth 3yr Historic,-0.015417033666079494
Price/Earnings (TTM),23.04103
Price/Sales (TTM),3.40764
Price/Book (MRQ),3.08044
Price/Cash Flow (TTM),9.98358
5yr Low,42.98
5yr High,100.3
5yr Avg Return,0.13935
EPS Growth 5yr,0.1806023
Revenue Growth 5yr,0.0778144
Dividend Growth 5yr,0.11273
Short Int Current Month,168296.0
Short Int Prev Month,212596.0
Short Int Pct of Float,0.0070024
Days to Cover,1.60154
Float,24.02271
Shares Outstanding,24.38245
Institutions Holding Shares,240.0
FCF Growth 5yr,-1.7739141315764488
"Price/Earnings (TTM, GAAP)",23.04
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4522
Operating Profit Margin (TTM),0.21850000000000003
Net Profit Margin (TTM),0.1487
Annual Dividend Yield,0.018600000000000002
Dividend Change %,0.0357
"Dividend Growth Rate, 3 Years",0.08560000000000001
EPS Growth (MRQ),0.1697
EPS Growth (TTM),0.1229
Revenue Growth (MRQ),0.1328
Revenue Growth (TTM),0.1847
Return On Equity (TTM),0.1399
Return On Assets (TTM),0.0632
Return On Investment (TTM),0.0694
Revenue Per Employee (TTM),590246.0
Total Debt/Total Capital (MRQ),0.3517
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.04
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2016-06-13 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
