,IRWD
Price/Earnings (TTM),12.40784
Price/Sales (TTM),4.27875
Price/Book (MRQ),3.04272
Price/Cash Flow (TTM),10.64635
5yr Low,7.91
5yr High,21.2
5yr Avg Return,-0.03836666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0859548
Dividend Growth 5yr,
Short Int Current Month,18811396.0
Short Int Prev Month,17149824.0
Short Int Pct of Float,0.1247861
Days to Cover,8.25373
Float,150.8862
Shares Outstanding,153.3955
Institutions Holding Shares,338.0
% Held by Institutions,1.103021
FCF Growth 5yr,0.2524666030534351
