,IRWD
% Below High,0.0942
% Held by Institutions,1.103
52-Wk Range,['9.73 - 12.95']
Annual Dividend $,
Annual Dividend %,
Ask,12.65
Ask Size,12800.0
B/A Ratio,0.0078125
B/A Size,100x12800
Beta,1.0
Bid,11.16
Bid Size,100.0
Closing Price,11.73
Day Change $,0.15
Day Change %,0.013000000000000001
Day High,11.77
Day Low,11.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.95
Ex-dividend Date,No dividend
Historical Volatility,0.307
Last (size),169.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.41
Prev Close,11.58
Short Interest,0.12480000000000001
Today's Open,11.54
Volume,518661.0
Volume 10-day Avg,1813999.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.030927835051546504
Growth 2yr High Est,0.08333333333333326
Growth 2yr Consensus Est,0.05713058419243988
Growth 5yr Low Est,0.030927835051546504
Growth 5yr High Est,0.08333333333333326
Growth 5yr Consensus Est,0.05713058419243988
Growth 5yr Actual/Est,0.21669675806515612
Growth 3yr Historic,0.22617951668584574
Price/Earnings (TTM),12.40784
Price/Sales (TTM),4.27875
Price/Book (MRQ),3.04272
Price/Cash Flow (TTM),10.64635
5yr Low,7.91
5yr High,21.2
5yr Avg Return,-0.03836666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.0859548
Dividend Growth 5yr,
Short Int Current Month,18811396.0
Short Int Prev Month,17149824.0
Short Int Pct of Float,0.1247861
Days to Cover,8.25373
Float,150.8862
Shares Outstanding,153.3955
Institutions Holding Shares,338.0
FCF Growth 5yr,0.2524666030534351
"Price/Earnings (TTM, GAAP)",12.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2785
Operating Profit Margin (TTM),0.5673
Net Profit Margin (TTM),0.3985
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3496
EPS Growth (TTM),-0.7086
Revenue Growth (MRQ),0.1173
Revenue Growth (TTM),0.0175
Return On Equity (TTM),0.2862
Return On Assets (TTM),0.15810000000000002
Return On Investment (TTM),0.1721
Revenue Per Employee (TTM),1920215.0
Total Debt/Total Capital (MRQ),0.4011
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-01-20 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
