,WD
% Above Low,0.11970000000000001
% Held by Institutions,0.7417
52-Wk Range,['75.33 - 154.53']
Annual Dividend $,2.4
Annual Dividend %,0.0281
Ask,106.29
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,84.35
Day Change $,-1.02
Day Change %,-0.011899999999999999
Day High,85.01
Day Low,83.54
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.54
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.399
Last (size),14.0
Last (time),7:00p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.32
Prev Close,85.37
Short Interest,0.0226
Today's Open,84.68
Volume,96129.0
Volume 10-day Avg,118951.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.18136020151133503
Growth 1yr High Est,0.13300492610837433
Growth 1yr Consensus Est,-0.024177637701480348
Growth 2yr Low Est,-0.09683394690951369
Growth 2yr High Est,0.10998072392375247
Growth 2yr Consensus Est,0.006573388507119388
Growth 5yr Low Est,0.075406002063134
Growth 5yr High Est,0.17341141459345516
Growth 5yr Consensus Est,0.12440870832829458
Growth 5yr Actual/Est,0.13050251535232293
Growth 3yr Historic,0.11770677992388545
Price/Earnings (TTM),11.31809
Price/Sales (TTM),2.03764
Price/Book (MRQ),1.66043
Price/Cash Flow (TTM),5.75701
5yr Low,24.55
5yr High,156.77
5yr Avg Return,0.168
EPS Growth 5yr,0.1794789
Revenue Growth 5yr,0.169613
Dividend Growth 5yr,
Short Int Current Month,690395.0
Short Int Prev Month,939305.0
Short Int Pct of Float,0.0226119
Days to Cover,3.70537
Float,30.53236
Shares Outstanding,33.01208
Institutions Holding Shares,308.0
FCF Growth 5yr,-0.5283770793043865
"Price/Earnings (TTM, GAAP)",11.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.23690000000000003
Net Profit Margin (TTM),0.1815
Annual Dividend Yield,0.0281
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1379
EPS Growth (TTM),-0.0917
Revenue Growth (MRQ),-0.07400000000000001
Revenue Growth (TTM),0.1509
Return On Equity (TTM),0.1616
Return On Assets (TTM),0.0451
Return On Investment (TTM),0.045599999999999995
Revenue Per Employee (TTM),1059841.0
Total Debt/Total Capital (MRQ),0.6577
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.82
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
