,WD
Price/Earnings (TTM),11.31809
Price/Sales (TTM),2.03764
Price/Book (MRQ),1.66043
Price/Cash Flow (TTM),5.75701
5yr Low,24.55
5yr High,156.77
5yr Avg Return,0.168
EPS Growth 5yr,0.1794789
Revenue Growth 5yr,0.169613
Dividend Growth 5yr,
Short Int Current Month,690395.0
Short Int Prev Month,939305.0
Short Int Pct of Float,0.0226119
Days to Cover,3.70537
Float,30.53236
Shares Outstanding,33.01208
Institutions Holding Shares,308.0
% Held by Institutions,0.741732
FCF Growth 5yr,-0.5283770793043865
