,RCL
% Above Low,0.8745999999999999
% Held by Institutions,0.7339
52-Wk Range,['31.09 - 90.55']
Annual Dividend $,
Annual Dividend %,
Ask,58.28
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.4
Bid,58.25
Bid Size,200.0
Day Change $,-1.4
Day Change %,-0.0235
Day High,59.92
Day Low,58.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-11.82
Ex-dividend Date,No dividend
Historical Volatility,0.7070000000000001
Last (size),9.0
Last (time),12:23p ET 11/28/22
Market Cap,14.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,59.68
Price,58.28
Short Interest,0.1056
Today's Open,59.12
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.593474883480062
Growth 1yr High Est,-0.542027194066749
Growth 1yr Consensus Est,-0.5677510387734055
Growth 2yr Low Est,-0.9228520914215597
Growth 2yr High Est,-1.090176889880878
Growth 2yr Consensus Est,-1.006514490651219
Growth 5yr Low Est,-1.2185163818452336
Growth 5yr High Est,-1.2120987542187895
Growth 5yr Consensus Est,-1.2153075680320113
Growth 5yr Actual/Est,-1.2265317963869224
Growth 3yr Historic,-0.7178065107449505
Price/Earnings (TTM),
Price/Sales (TTM),2.10967
Price/Book (MRQ),4.75106
Price/Cash Flow (TTM),
5yr Low,19.25
5yr High,135.65
5yr Avg Return,-0.08741666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.2900753
Dividend Growth 5yr,
Short Int Current Month,23222483.0
Short Int Prev Month,22193770.0
Short Int Pct of Float,0.1055967
Days to Cover,3.37122
Float,219.969
Shares Outstanding,255.182
Institutions Holding Shares,824.0
FCF Growth 5yr,-0.05794311811569693
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.18989999999999999
Operating Profit Margin (TTM),-0.2532
Net Profit Margin (TTM),-0.4173
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0631
EPS Growth (TTM),0.4534
Revenue Growth (MRQ),0.3703
Revenue Growth (TTM),11.3604
Return On Equity (TTM),-0.6229
Return On Assets (TTM),-0.0911
Return On Investment (TTM),-0.11789999999999999
Revenue Per Employee (TTM),84927.0
Total Debt/Total Capital (MRQ),0.8792
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.27
Interest Coverage (MRQ),1.26
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-02-03 00:00:00
theStreet since,2020-05-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-12-31 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
