,SEE
% Above Low,0.2561
% Held by Institutions,0.9029
52-Wk Range,['41.24 - 70.73']
Annual Dividend $,0.8
Annual Dividend %,0.015300000000000001
Ask,51.82
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,51.8
Bid Size,100.0
Day Change $,-0.51
Day Change %,-0.0097
Day High,51.89
Day Low,51.49
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.81
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.34299999999999997
Last (size),100.0
Last (time),1:56p ET 11/28/22
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.74
Prev Close,52.31
Price,51.8
Short Interest,0.015600000000000001
Today's Open,51.8
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.15999999999999992
Growth 1yr High Est,0.14958448753462616
Growth 1yr Consensus Est,0.15479224376731304
Growth 2yr Low Est,0.041822660098522146
Growth 2yr High Est,0.10491272569502397
Growth 2yr Consensus Est,0.07336769289677306
Growth 5yr Low Est,0.08627183161665916
Growth 5yr High Est,0.11625303174981466
Growth 5yr Consensus Est,0.10126243168323691
Growth 5yr Actual/Est,0.10227602182047502
Growth 3yr Historic,0.06101458458391695
Price/Earnings (TTM),13.73893
Price/Sales (TTM),1.31201
Price/Book (MRQ),34.67851
Price/Cash Flow (TTM),10.03586
5yr Low,17.06
5yr High,70.73
5yr Avg Return,0.04836666666666666
EPS Growth 5yr,0.1691062
Revenue Growth 5yr,0.0561399
Dividend Growth 5yr,0.044953
Short Int Current Month,2239306.0
Short Int Prev Month,2386504.0
Short Int Pct of Float,0.0155633
Days to Cover,1.25717
Float,143.8945
Shares Outstanding,144.6575
Institutions Holding Shares,706.0
FCF Growth 5yr,-2.1760503295998466
"Price/Earnings (TTM, GAAP)",13.74
"PEG Ratio (TTM, GAAP)",1.62
Gross Profit Margin (TTM),0.31629999999999997
Operating Profit Margin (TTM),0.1668
Net Profit Margin (TTM),0.0981
Annual Dividend Yield,0.015300000000000001
Dividend Change %,0.1875
"Dividend Growth Rate, 3 Years",0.059000000000000004
EPS Growth (MRQ),0.16620000000000001
EPS Growth (TTM),0.277
Revenue Growth (MRQ),-0.0124
Revenue Growth (TTM),0.07940000000000001
Return On Equity (TTM),3.2702999999999998
Return On Assets (TTM),0.0925
Return On Investment (TTM),0.1341
Revenue Per Employee (TTM),349546.0
Total Debt/Total Capital (MRQ),0.9434
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),5.43
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-02 00:00:00
theStreet since,2020-10-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-02 00:00:00
ford since,2022-09-30 00:00:00
marketEdge opinion since,
