,SEE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.74,14.62,Valuation,0.9398084815321478
Price/Sales (TTM),1.31,1.05,Valuation,1.2476190476190476
Price/Book (MRQ),34.68,5.55,Valuation,6.248648648648649
"PEG Ratio (TTM, GAAP)",1.62,0.41,Valuation,3.9512195121951224
Gross Profit Margin (TTM),0.31629999999999997,0.2208,Profitability,1.4325181159420288
Operating Profit Margin (TTM),0.1668,0.09230000000000001,Profitability,1.80715059588299
Net Profit Margin (TTM),0.0981,0.0636,Profitability,1.5424528301886793
Annual Dividend Yield,0.015300000000000001,0.0259,Dividend,0.5907335907335908
Dividend Change %,0.1875,0.0837,Dividend,2.240143369175627
"Dividend Growth Rate, 3 Years",0.059000000000000004,0.037700000000000004,Dividend,1.5649867374005304
EPS Growth (MRQ),0.16620000000000001,0.5963,Gowth rates,0.27871876572195203
EPS Growth (TTM),0.277,0.35340000000000005,Gowth rates,0.7838143746462931
Revenue Growth (MRQ),-0.0124,0.1054,Gowth rates,-0.11764705882352941
Revenue Growth (TTM),0.07940000000000001,0.1638,Gowth rates,0.4847374847374848
Return On Equity (TTM),3.2702999999999998,0.3788,Effectiveness,8.633315733896515
Return On Assets (TTM),0.0925,0.0592,Effectiveness,1.5625
Return On Investment (TTM),0.1341,0.0793,Effectiveness,1.691046658259773
Revenue Per Employee (TTM),349546.0,433957.0,Effectiveness,0.8054853361047293
Total Debt/Total Capital (MRQ),0.9434,0.6087,Financial strength,1.549860358140299
Change in Debt/Total Capital Quarter over Quarter,-0.0003,-0.0001,Financial strength,2.9999999999999996
Quick Ratio (MRQ),0.57,0.9,Financial strength,0.6333333333333333
Interest Coverage (MRQ),5.43,9.25,Financial strength,0.587027027027027
