,SIVB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.26,11.43,Valuation,0.7226596675415573
Price/Sales (TTM),2.13,3.3,Valuation,0.6454545454545455
Price/Book (MRQ),1.11,1.46,Valuation,0.7602739726027398
"PEG Ratio (TTM, GAAP)",1.03,1.15,Valuation,0.8956521739130435
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3788,0.34240000000000004,Profitability,1.1063084112149533
Net Profit Margin (TTM),0.2768,0.2812,Profitability,0.984352773826458
Annual Dividend Yield,,0.028700000000000003,Dividend,
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),0.2862,-0.0335,Gowth rates,-8.543283582089552
EPS Growth (TTM),-0.1778,-0.09960000000000001,Gowth rates,1.785140562248996
Revenue Growth (MRQ),0.19390000000000002,0.5429,Gowth rates,0.35715601399889485
Revenue Growth (TTM),0.6746,0.2466,Gowth rates,2.735604217356042
Return On Equity (TTM),0.1332,0.1135,Effectiveness,1.173568281938326
Return On Assets (TTM),0.0085,0.0099,Effectiveness,0.8585858585858586
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0651,0.0009,Financial strength,72.33333333333334
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
