,SIVB
% Above Low,0.0705
% Held by Institutions,0.9381999999999999
52-Wk Range,['204.37 - 752.68']
Annual Dividend $,
Annual Dividend %,
Ask,218.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,218.7
Bid Size,100.0
Day Change $,-3.82
Day Change %,-0.0172
Day High,230.28
Day Low,217.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",26.94
Ex-dividend Date,No dividend
Historical Volatility,0.643
Last (size),100.0
Last (time),2:21p ET 11/28/22
Market Cap,12.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.26
Prev Close,222.6
Price,218.78
Short Interest,0.049800000000000004
Today's Open,219.9
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.14730782255333563
Growth 1yr High Est,-0.18088235294117638
Growth 1yr Consensus Est,-0.164095087747256
Growth 2yr Low Est,-0.20729171906062333
Growth 2yr High Est,0.021767082057239484
Growth 2yr Consensus Est,-0.09276231850169192
Growth 5yr Low Est,-0.00041619445854126913
Growth 5yr High Est,0.1432497128684758
Growth 5yr Consensus Est,0.07141675920496726
Growth 5yr Actual/Est,0.02833793078109595
Growth 3yr Historic,0.1047202308572574
Price/Earnings (TTM),8.26311
Price/Sales (TTM),2.12718
Price/Book (MRQ),1.10904
Price/Cash Flow (TTM),7.44993
5yr Low,127.39
5yr High,763.22
5yr Avg Return,0.13575000000000004
EPS Growth 5yr,0.3371696
Revenue Growth 5yr,0.2247737
Dividend Growth 5yr,
Short Int Current Month,2929076.0
Short Int Prev Month,2397206.0
Short Int Pct of Float,0.0497951
Days to Cover,2.33687
Float,58.83513
Shares Outstanding,59.10412
Institutions Holding Shares,993.0
FCF Growth 5yr,0.8579681398895606
"Price/Earnings (TTM, GAAP)",8.26
"PEG Ratio (TTM, GAAP)",1.03
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3788
Net Profit Margin (TTM),0.2768
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2862
EPS Growth (TTM),-0.1778
Revenue Growth (MRQ),0.19390000000000002
Revenue Growth (TTM),0.6746
Return On Equity (TTM),0.1332
Return On Assets (TTM),0.0085
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0651
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-22 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
