,SIVB
% Above Low,0.0705
% Held by Institutions,0.9381999999999999
52-Wk Range,['204.37 - 752.68']
Annual Dividend $,
Annual Dividend %,
Ask,218.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,218.7
Bid Size,100.0
Day Change $,-3.82
Day Change %,-0.0172
Day High,230.28
Day Low,217.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",26.94
Ex-dividend Date,No dividend
Historical Volatility,0.643
Last (size),100.0
Last (time),2:21p ET 11/28/22
Market Cap,12.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.26
Prev Close,222.6
Price,218.78
Shares Outstanding,59.1M
Short Interest,0.049800000000000004
Today's Open,219.9
Volume Past Day,(Light)
