,GMS
% Below High,0.20550000000000002
% Held by Institutions,0.971
52-Wk Range,['36.10 - 61.79']
Annual Dividend $,
Annual Dividend %,
Ask,77.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,31.85
Bid Size,100.0
Closing Price,49.09
Day Change $,0.09
Day Change %,0.0018
Day High,49.58
Day Low,48.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.9
Ex-dividend Date,No dividend
Historical Volatility,0.452
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.11
Prev Close,49.0
Short Interest,0.0178
Today's Open,49.0
Volume,73383.0
Volume 10-day Avg,149533.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.00417827298050133
Growth 1yr High Est,0.1605937921727394
Growth 1yr Consensus Est,0.08238603257662036
Growth 2yr Low Est,-0.12135053063873685
Growth 2yr High Est,0.01401782631892784
Growth 2yr Consensus Est,-0.05366635215990451
Growth 5yr Low Est,0.3692489771048739
Growth 5yr High Est,0.36638391315946395
Growth 5yr Consensus Est,0.36781644513216893
Growth 5yr Actual/Est,0.30632183089165166
Growth 3yr Historic,0.32693460023968496
Price/Earnings (TTM),7.11076
Price/Sales (TTM),0.42036
Price/Book (MRQ),1.82265
Price/Cash Flow (TTM),4.89055
5yr Low,10.39
5yr High,61.79
5yr Avg Return,0.19923333333333335
EPS Growth 5yr,0.39236170000000004
Revenue Growth 5yr,0.1485291
Dividend Growth 5yr,
Short Int Current Month,735046.0
Short Int Prev Month,1037414.0
Short Int Pct of Float,0.017773
Days to Cover,4.07713
Float,42.15805
Shares Outstanding,42.40682
Institutions Holding Shares,309.0
FCF Growth 5yr,-1.7176896236796384
"Price/Earnings (TTM, GAAP)",7.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32049999999999995
Operating Profit Margin (TTM),0.0928
Net Profit Margin (TTM),0.0609
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1821
EPS Growth (TTM),1.1619
Revenue Growth (MRQ),0.055
Revenue Growth (TTM),0.3996
Return On Equity (TTM),0.2992
Return On Assets (TTM),0.1027
Return On Investment (TTM),0.1303
Revenue Per Employee (TTM),904539.0
Total Debt/Total Capital (MRQ),0.5211
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),9.21
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-06-25 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
