,GMS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.11,17.46,Valuation,0.4072164948453608
Price/Sales (TTM),0.42,2.11,Valuation,0.1990521327014218
Price/Book (MRQ),1.82,6.17,Valuation,0.29497568881685576
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.32049999999999995,0.42710000000000004,Profitability,0.7504097401077029
Operating Profit Margin (TTM),0.0928,0.14730000000000001,Profitability,0.6300067888662593
Net Profit Margin (TTM),0.0609,0.0835,Profitability,0.7293413173652694
Annual Dividend Yield,,0.0125,Dividend,
Dividend Change %,,0.053099999999999994,Dividend,
"Dividend Growth Rate, 3 Years",,0.0517,Dividend,
EPS Growth (MRQ),0.1821,0.4814,Gowth rates,0.37827170751973416
EPS Growth (TTM),1.1619,0.5656,Gowth rates,2.0542786421499293
Revenue Growth (MRQ),0.055,0.1985,Gowth rates,0.2770780856423174
Revenue Growth (TTM),0.3996,0.2242,Gowth rates,1.7823371989295271
Return On Equity (TTM),0.2992,0.3129,Effectiveness,0.9562160434643656
Return On Assets (TTM),0.1027,0.1319,Effectiveness,0.778620166793025
Return On Investment (TTM),0.1303,0.17420000000000002,Effectiveness,0.7479908151549942
Revenue Per Employee (TTM),904539.0,1897425.0,Effectiveness,0.47671923791454207
Total Debt/Total Capital (MRQ),0.5211,0.4449,Financial strength,1.1712744436952123
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0005,Financial strength,-0.6
Quick Ratio (MRQ),1.43,1.09,Financial strength,1.311926605504587
Interest Coverage (MRQ),9.21,26.1,Financial strength,0.3528735632183908
