,NVCR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),14.51,9.8,Valuation,1.480612244897959
Price/Book (MRQ),17.67,10.31,Valuation,1.7138700290979632
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7868,0.6196,Profitability,1.2698515171078115
Operating Profit Margin (TTM),-0.12890000000000001,0.047,Profitability,-2.742553191489362
Net Profit Margin (TTM),-0.15050000000000002,0.009300000000000001,Profitability,-16.182795698924732
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.1042,-0.4858,Gowth rates,0.21449156031288596
EPS Growth (TTM),-1.9627000000000001,-0.2029,Gowth rates,9.673238048299655
Revenue Growth (MRQ),-0.0701,0.1161,Gowth rates,-0.6037898363479759
Revenue Growth (TTM),-0.0058,0.18300000000000002,Gowth rates,-0.031693989071038244
Return On Equity (TTM),-0.19030000000000002,0.1068,Effectiveness,-1.7818352059925096
Return On Assets (TTM),-0.0712,0.0622,Effectiveness,-1.144694533762058
Return On Investment (TTM),-0.0805,0.0732,Effectiveness,-1.099726775956284
Revenue Per Employee (TTM),464973.0,403586.0,Effectiveness,1.1521038886383572
Total Debt/Total Capital (MRQ),0.559,0.3161,Financial strength,1.7684277127491301
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0125,Financial strength,-0.032
Quick Ratio (MRQ),7.62,2.25,Financial strength,3.3866666666666667
Interest Coverage (MRQ),,14.99,Financial strength,
