,NVCR
% Above Low,0.33
% Held by Institutions,0.7973
52-Wk Range,['56.39 - 104.12']
Annual Dividend $,
Annual Dividend %,
Ask,75.0
Ask Size,100.0
Ask close,79.96
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,72.0
Bid Size,300.0
Bid close,70.42
Change Since Close,-2.24| |(-2.99%)
Closing Price,75.0
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,72.76
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,75.0
Short Interest,0.0791
Today's Open,
Volume,1.0
Volume 10-day Avg,444012.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.38775510204081653
Growth 2yr High Est,-0.16923076923076918
Growth 2yr Consensus Est,0.10926216640502368
Growth 5yr Low Est,0.38775510204081653
Growth 5yr High Est,-0.16923076923076918
Growth 5yr Consensus Est,0.10926216640502368
Growth 5yr Actual/Est,-1.7689043209876545
Growth 3yr Historic,-1.9206349206349207
Price/Earnings (TTM),
Price/Sales (TTM),14.50591
Price/Book (MRQ),17.67109
Price/Cash Flow (TTM),
5yr Low,18.13
5yr High,232.76
5yr Avg Return,0.4704166666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.4520362
Dividend Growth 5yr,
Short Int Current Month,8200550.0
Short Int Prev Month,8296333.0
Short Int Pct of Float,0.07905380000000001
Days to Cover,15.75481
Float,103.7876
Shares Outstanding,104.9501
Institutions Holding Shares,459.0
FCF Growth 5yr,1.129658743111234
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7868
Operating Profit Margin (TTM),-0.12890000000000001
Net Profit Margin (TTM),-0.15050000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1042
EPS Growth (TTM),-1.9627000000000001
Revenue Growth (MRQ),-0.0701
Revenue Growth (TTM),-0.0058
Return On Equity (TTM),-0.19030000000000002
Return On Assets (TTM),-0.0712
Return On Investment (TTM),-0.0805
Revenue Per Employee (TTM),464973.0
Total Debt/Total Capital (MRQ),0.559
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),7.62
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-03-01 00:00:00
theStreet since,2021-08-16 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
