,CLSK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),0.74,9.39,Valuation,0.07880724174653886
Price/Book (MRQ),0.24,12.63,Valuation,0.01900237529691211
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7270000000000001,0.7206,Profitability,1.0088814876491814
Operating Profit Margin (TTM),-0.057800000000000004,0.2172,Profitability,-0.26611418047882135
Net Profit Margin (TTM),-0.0517,0.1553,Profitability,-0.33290405666452033
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-83.95469999999999,-0.0752,Gowth rates,1116.418882978723
EPS Growth (TTM),0.7862,-0.2824,Gowth rates,-2.7839943342776206
Revenue Growth (MRQ),-0.2548,0.15560000000000002,Gowth rates,-1.6375321336760926
Revenue Growth (TTM),5.5961,0.1906,Gowth rates,29.360440713536203
Return On Equity (TTM),-0.023100000000000002,0.2189,Effectiveness,-0.10552763819095479
Return On Assets (TTM),-0.0206,0.10740000000000001,Effectiveness,-0.19180633147113593
Return On Investment (TTM),-0.0215,0.1387,Effectiveness,-0.15501081470800288
Revenue Per Employee (TTM),1640146.0,667721.0,Effectiveness,2.456334307293016
Total Debt/Total Capital (MRQ),0.0477,0.39659999999999995,Financial strength,0.12027231467473526
Change in Debt/Total Capital Quarter over Quarter,0.1464,0.0004,Financial strength,366.0
Quick Ratio (MRQ),1.47,1.0,Financial strength,1.47
Interest Coverage (MRQ),-4.08,0.28,Financial strength,-14.571428571428571
