,CLSK
% Above Low,0.1045
% Held by Institutions,0.3565
52-Wk Range,['2.01 - 18.48']
Annual Dividend $,
Annual Dividend %,
Ask,2.25
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,3.3
Bid,2.17
Bid Size,100.0
Closing Price,2.22
Day Change $,0.02
Day Change %,0.0091
Day High,2.24
Day Low,2.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.2
Ex-dividend Date,No dividend
Historical Volatility,1.013
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,143.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.2
Short Interest,0.1624
Today's Open,2.22
Volume,817186.0
Volume 10-day Avg,2823194.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.8122605363984674
Growth 1yr High Est,-0.8199233716475096
Growth 1yr Consensus Est,-0.8160919540229885
Growth 2yr Low Est,1.2979513644538279
Growth 2yr High Est,-1.1652808347599248
Growth 2yr Consensus Est,0.06633526484695151
Growth 5yr Low Est,0.8653009096358852
Growth 5yr High Est,-0.7768538898399499
Growth 5yr Consensus Est,0.044223509897967604
Growth 5yr Actual/Est,-0.31138907103825136
Growth 3yr Historic,-0.3255557377049181
Price/Earnings (TTM),
Price/Sales (TTM),0.74123
Price/Book (MRQ),0.24329
Price/Cash Flow (TTM),3.19932
5yr Low,0.97
5yr High,150.1
5yr Avg Return,0.6099
EPS Growth 5yr,
Revenue Growth 5yr,2.597641
Dividend Growth 5yr,
Short Int Current Month,6711351.0
Short Int Prev Month,6440756.0
Short Int Pct of Float,0.1623724
Days to Cover,1.86704
Float,41.33309
Shares Outstanding,47.09584
Institutions Holding Shares,144.0
FCF Growth 5yr,-0.5367278363635204
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7270000000000001
Operating Profit Margin (TTM),-0.057800000000000004
Net Profit Margin (TTM),-0.0517
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-83.95469999999999
EPS Growth (TTM),0.7862
Revenue Growth (MRQ),-0.2548
Revenue Growth (TTM),5.5961
Return On Equity (TTM),-0.023100000000000002
Return On Assets (TTM),-0.0206
Return On Investment (TTM),-0.0215
Revenue Per Employee (TTM),1640146.0
Total Debt/Total Capital (MRQ),0.0477
Change in Debt/Total Capital Quarter over Quarter,0.1464
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),-4.08
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-07-02 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2020-01-28 00:00:00
newConstructs since,
marketEdge opinion since,
