,KBR
Price/Earnings (TTM),51.36333
Price/Sales (TTM),0.96617
Price/Book (MRQ),4.6381
Price/Cash Flow (TTM),24.25186
5yr Low,12.0
5yr High,56.94
5yr Avg Return,0.24868333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.1145062
Dividend Growth 5yr,
Short Int Current Month,4038196.0
Short Int Prev Month,4755950.0
Short Int Pct of Float,0.0297486
Days to Cover,3.98221
Float,135.799
Shares Outstanding,137.1962
Institutions Holding Shares,440.0
% Held by Institutions,1.041645
FCF Growth 5yr,0.4056242845624438
