,KBR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",51.36,75.74,Valuation,0.6781093213625562
Price/Sales (TTM),0.97,5.07,Valuation,0.19132149901380668
Price/Book (MRQ),4.64,7.18,Valuation,0.6462395543175488
"PEG Ratio (TTM, GAAP)",4.26,3.68,Valuation,1.1576086956521738
Gross Profit Margin (TTM),0.11539999999999999,0.49210000000000004,Profitability,0.2345051818736029
Operating Profit Margin (TTM),0.049100000000000005,0.10619999999999999,Profitability,0.4623352165725048
Net Profit Margin (TTM),0.0223,0.055,Profitability,0.40545454545454546
Annual Dividend Yield,0.0091,0.0074,Dividend,1.2297297297297298
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.2,-18.5673,Gowth rates,0.010771625384412382
EPS Growth (TTM),6.9718,-0.2057,Gowth rates,-33.893048128342244
Revenue Growth (MRQ),0.0062,0.10880000000000001,Gowth rates,0.05698529411764705
Revenue Growth (TTM),0.1822,0.11970000000000001,Gowth rates,1.5221386800334167
Return On Equity (TTM),0.1082,0.1999,Effectiveness,0.5412706353176588
Return On Assets (TTM),0.029700000000000004,0.0565,Effectiveness,0.5256637168141594
Return On Investment (TTM),0.041600000000000005,0.0848,Effectiveness,0.4905660377358491
Revenue Per Employee (TTM),266250.0,417216.0,Effectiveness,0.6381586516336861
Total Debt/Total Capital (MRQ),0.5254,0.4147,Financial strength,1.266939956595129
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.0070999999999999995,Financial strength,0.26760563380281693
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),5.33,18.36,Financial strength,0.2903050108932462
