,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,20.22,22.22,30.85,31.92,47.81,56.94,,,,,
low,17.92,13.9,14.82,12.0,28.43,41.77,,,,,
change,0.0464,-0.24059999999999998,1.0456,0.0075,0.5307000000000001,0.10250000000000001,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,370.0,412.0,516.0,461.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,1424.0,1048.0,1044.0,917.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-13.0,-13.0,-11.0,-8.0,Balance Sheet
"Total Receivables, Net",,,,,,,1635.0,1246.0,1241.0,1139.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,147.0,116.0,125.0,119.0,Balance Sheet
Total Current Assets,,,,,,,2152.0,1774.0,1882.0,1719.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,567.0,567.0,555.0,555.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,567.0,567.0,555.0,555.0,Balance Sheet
Accumulated Depreciation,,,,,,,-431.0,-435.0,-420.0,-409.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,294.0,283.0,285.0,313.0,Balance Sheet
"Goodwill, Net",,,,,,,2060.0,2051.0,2025.0,2056.0,Balance Sheet
Intangibles - Gross,,,,,,,999.0,990.0,964.0,946.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-291.0,-302.0,-308.0,-313.0,Balance Sheet
Intangibles - Net,,,,,,,708.0,688.0,656.0,633.0,Balance Sheet
Long Term Investments,,,,,,,576.0,430.0,199.0,177.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,30.0,30.0,30.0,29.0,Balance Sheet
Other Long Term Assets,,,,,,,153.0,166.0,239.0,243.0,Balance Sheet
Total Assets,,,,,,,6199.0,5634.0,5518.0,5354.0,Balance Sheet
Accounts Payable,,,,,,,1026.0,630.0,647.0,557.0,Balance Sheet
Accrued Expenses,,,,,,,392.0,364.0,377.0,399.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,16.0,16.0,16.0,15.0,Balance Sheet
Dividends Payable,,,,,,,16.0,17.0,17.0,17.0,Balance Sheet
Customer Advances,,,,,,,313.0,334.0,337.0,289.0,Balance Sheet
Income Taxes Payable,,,,,,,2.0,,,,Balance Sheet
Other Payables,,,,,,,13.0,13.0,10.0,9.0,Balance Sheet
Other Current Liabilities,,,,,,,97.0,87.0,88.0,103.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,441.0,451.0,452.0,418.0,Balance Sheet
Total Current Liabilities,,,,,,,1875.0,1461.0,1492.0,1389.0,Balance Sheet
Total Long Term Debt,,,,,,,1854.0,1872.0,1746.0,1722.0,Balance Sheet
Total Debt,,,,,,,1870.0,1888.0,1762.0,1737.0,Balance Sheet
Deferred Income Tax,,,,,,,70.0,70.0,72.0,68.0,Balance Sheet
Minority Interest,,,,,,,14.0,14.0,10.0,6.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,199.0,161.0,135.0,115.0,Balance Sheet
Other LT Liabilities,,,,,,,500.0,492.0,477.0,491.0,Balance Sheet
"Other Liabilities, Total",,,,,,,699.0,653.0,612.0,606.0,Balance Sheet
Total Liabilities,,,,,,,4512.0,4070.0,3932.0,3791.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,2251.0,2216.0,2222.0,2228.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1260.0,1200.0,1276.0,1334.0,Balance Sheet
Treasury Stock - Common,,,,,,,-943.0,-976.0,-1016.0,-1065.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-296.0,-315.0,-349.0,-409.0,Balance Sheet
Other Equity,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-581.0,-576.0,-571.0,-566.0,Balance Sheet
Other Comprehensive Income,,,,,,,-4.0,15.0,24.0,41.0,Balance Sheet
"Other Equity, Total",,,,,,,-881.0,-876.0,-896.0,-934.0,Balance Sheet
Total Equity,,,,,,,1687.0,1564.0,1586.0,1563.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,6199.0,5634.0,5518.0,5354.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,140.0,140.0,139.0,138.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,40.0,41.0,42.0,43.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,2499.0,1714.0,1616.0,1626.0,Income Statement
"Cost of Revenue, Total",,,,,,,2261.0,1518.0,1415.0,1401.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,110.0,107.0,105.0,103.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,,-5.0,118.0,-10.0,-5.0,Income Statement
Restructuring Charge,,,,,,,0.0,1.0,1.0,1.0,Income Statement
Impair-Assets Held for Use,,,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,,5.0,1.0,-16.0,1.0,Income Statement
Unusual Expense (Income),,,,,,,4.0,2.0,-37.0,2.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,-1.0,0.0,-22.0,0.0,Income Statement
Total Operating Expense,,,,,,,2370.0,1745.0,1473.0,1501.0,Income Statement
Total Operating Income,,,,,,,129.0,-31.0,143.0,125.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-24.0,-20.0,-21.0,-23.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,-10.0,,4.0,-3.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,7.0,0.0,1.0,1.0,Income Statement
"Other, Net",,,,,,,7.0,0.0,1.0,1.0,Income Statement
Income Before Tax,,,,,,,102.0,-51.0,127.0,100.0,Income Statement
Income Tax - Total,,,,,,,33.0,19.0,33.0,27.0,Income Statement
Income After Tax,,,,,,,69.0,-70.0,94.0,73.0,Income Statement
Minority Interest,,,,,,,-1.0,-1.0,0.0,1.0,Income Statement
Net Inc Before Extra Items,,,,,,,68.0,-71.0,94.0,74.0,Income Statement
Total Net Income,,,,,,,68.0,-71.0,94.0,74.0,Income Statement
Total Adjust to Net Income,,,,,,,,,,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,68.0,-71.0,94.0,74.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,68.0,-71.0,94.0,74.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,137.0,140.0,139.0,139.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.5,-0.51,0.68,0.53,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.5,-0.51,0.68,0.53,Income Statement
Dilution Adjustment,,,,,,,,,1.0,2.0,Income Statement
Diluted Weighted Average Shares,,,,,,,157.0,140.0,156.0,156.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.43,-0.51,0.61,0.49,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.43,-0.51,0.61,0.49,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.12,0.12,0.12,Income Statement
Gross Divid - Common Stock,,,,,,,16.0,17.0,17.0,16.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,24.0,20.0,21.0,23.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,32.0,33.0,33.0,33.0,Income Statement
Total Special Items,,,,,,,4.0,18.0,-16.0,-8.0,Income Statement
Normalzd Income Before Tax,,,,,,,106.0,-33.0,111.0,92.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,1.0,6.0,-4.0,-2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,34.0,25.0,29.0,25.0,Income Statement
Normalized Income After Tax,,,,,,,72.0,-58.0,82.0,67.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,71.0,-59.0,82.0,68.0,Income Statement
Basic Normalized EPS,,,,,,,0.52,-0.42,0.59,0.49,Income Statement
Diluted Normalized EPS,,,,,,,0.45,-0.42,0.53,0.45,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,26000.0,-70000.0,24000.0,97000.0,Cash Flow
Depreciation/Depletion,,,,,,,146000.0,33000.0,66000.0,99000.0,Cash Flow
Deferred Taxes,,,,,,,44000.0,16000.0,33000.0,49000.0,Cash Flow
Unusual Items,,,,,,,0.0,0.0,-38000.0,-38000.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,,170000.0,118000.0,108000.0,103000.0,Cash Flow
Other Non-Cash Items,,,,,,,56000.0,12000.0,15000.0,24000.0,Cash Flow
Non-Cash Items,,,,,,,226000.0,130000.0,85000.0,89000.0,Cash Flow
Accounts Receivable,,,,,,,-524000.0,384000.0,376000.0,464000.0,Cash Flow
Accounts Payable,,,,,,,447000.0,-400000.0,-366000.0,-440000.0,Cash Flow
Accrued Expenses,,,,,,,-21000.0,-57000.0,-46000.0,-28000.0,Cash Flow
Changes in Working Capital,,,,,,,-164000.0,-20000.0,6000.0,2000.0,Cash Flow
Total Cash from Operations,,,,,,,278000.0,89000.0,214000.0,336000.0,Cash Flow
Purchase of Fixed Assets,,,,,,,-30000.0,-6000.0,-19000.0,-39000.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,,-7000.0,0.0,0.0,0.0,Cash Flow
Capital Expenditures,,,,,,,-37000.0,-6000.0,-19000.0,-39000.0,Cash Flow
Acquisition of Business,,,,,,,-399000.0,,,-73000.0,Cash Flow
Sale of Fixed Assets,,,,,,,44000.0,,,60000.0,Cash Flow
Sale/Maturity of Investment,,,,,,,,18000.0,249000.0,198000.0,Cash Flow
Purchase of Investments,,,,,,,-29000.0,-1000.0,,,Cash Flow
Other Investing Cash Flow,,,,,,,-7000.0,1000.0,-61000.0,-60000.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-391000.0,18000.0,188000.0,125000.0,Cash Flow
Total Cash from Investing,,,,,,,-428000.0,12000.0,169000.0,86000.0,Cash Flow
Financing Cash Flow Items,,,,,,,-28000.0,-1000.0,-9000.0,-13000.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-61000.0,-15000.0,-32000.0,-49000.0,Cash Flow
Sale/Issuance of Common,,,,,,,12000.0,4000.0,5000.0,5000.0,Cash Flow
Repurch/Retirement Common,,,,,,,-82000.0,-33000.0,-74000.0,-124000.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-70000.0,-29000.0,-69000.0,-119000.0,Cash Flow
Long Term Debt Issued,,,,,,,290000.0,,,,Cash Flow
Long Term Debt Reduction,,,,,,,,,-97000.0,-97000.0,Cash Flow
"Long Term Debt, Net",,,,,,,290000.0,,-97000.0,-97000.0,Cash Flow
Total Debt Reduction,,,,,,,-44000.0,-7000.0,-8000.0,-12000.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,246000.0,-7000.0,-105000.0,-109000.0,Cash Flow
Total Cash From Financing,,,,,,,87000.0,-52000.0,-215000.0,-290000.0,Cash Flow
Foreign Exchange Effects,,,,,,,-3000.0,-7000.0,-22000.0,-41000.0,Cash Flow
Net Change in Cash,,,,,,,-66000.0,42000.0,146000.0,91000.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,436000.0,370000.0,370000.0,370000.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,370000.0,412000.0,516000.0,461000.0,Cash Flow
"Depreciation, Supplemental",,,,,,,146000.0,33000.0,66000.0,99000.0,Cash Flow
Free Cash Flow,,,,,,,241000.0,83000.0,195000.0,297000.0,
FCF Growth,,,,,,,,-0.6556016597510373,1.3493975903614457,0.523076923076923,
