,KBR
% Below High,0.0779
% Held by Institutions,1.0415999999999999
52-Wk Range,['41.69 - 56.94']
Annual Dividend $,0.48
Annual Dividend %,0.0091
Ask,52.88
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,
Bid Size,
Closing Price,52.5
Day Change $,0.62
Day Change %,0.012
Day High,52.87
Day Low,51.91
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",1.02
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.322
Last (size),1700.0
Last (time),5:00p ET 11/25/22
Market Cap,7.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",51.36
Prev Close,51.88
Short Interest,0.0297
Today's Open,51.97
Volume,323644.0
Volume 10-day Avg,999386.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.11111111111111116
Growth 1yr High Est,0.10416666666666674
Growth 1yr Consensus Est,0.10763888888888895
Growth 2yr Low Est,0.08440170940170943
Growth 2yr High Est,0.13887578616352203
Growth 2yr Consensus Est,0.11163874778261573
Growth 5yr Low Est,0.1482706994902117
Growth 5yr High Est,0.16675046289580925
Growth 5yr Consensus Est,0.15751058119301048
Growth 5yr Actual/Est,0.1567900379066713
Growth 3yr Historic,0.1056281424222732
Price/Earnings (TTM),51.36333
Price/Sales (TTM),0.96617
Price/Book (MRQ),4.6381
Price/Cash Flow (TTM),24.25186
5yr Low,12.0
5yr High,56.94
5yr Avg Return,0.24868333333333337
EPS Growth 5yr,
Revenue Growth 5yr,0.1145062
Dividend Growth 5yr,
Short Int Current Month,4038196.0
Short Int Prev Month,4755950.0
Short Int Pct of Float,0.0297486
Days to Cover,3.98221
Float,135.799
Shares Outstanding,137.1962
Institutions Holding Shares,440.0
FCF Growth 5yr,0.4056242845624438
"Price/Earnings (TTM, GAAP)",51.36
"PEG Ratio (TTM, GAAP)",4.26
Gross Profit Margin (TTM),0.11539999999999999
Operating Profit Margin (TTM),0.049100000000000005
Net Profit Margin (TTM),0.0223
Annual Dividend Yield,0.0091
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2
EPS Growth (TTM),6.9718
Revenue Growth (MRQ),0.0062
Revenue Growth (TTM),0.1822
Return On Equity (TTM),0.1082
Return On Assets (TTM),0.029700000000000004
Return On Investment (TTM),0.041600000000000005
Revenue Per Employee (TTM),266250.0
Total Debt/Total Capital (MRQ),0.5254
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.33
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-03 00:00:00
researchTeam since,2022-09-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-02 00:00:00
cfra since,
marketEdge opinion since,
