,SRPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),11.48,45.03,Valuation,0.254941150344215
Price/Book (MRQ),23.34,12.61,Valuation,1.850911974623315
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8391,0.5874,Profitability,1.4284984678243104
Operating Profit Margin (TTM),-0.7541,-4.7459,Profitability,0.15889504625044776
Net Profit Margin (TTM),-0.8176000000000001,-4.5467,Profitability,0.17982272857237117
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1119,-0.0014000000000000002,Gowth rates,79.92857142857142
EPS Growth (TTM),-0.3397,0.027200000000000002,Gowth rates,-12.488970588235293
Revenue Growth (MRQ),-0.0138,1.3963999999999999,Gowth rates,-0.009882555141793183
Revenue Growth (TTM),0.35700000000000004,0.9747,Gowth rates,0.36626654355186217
Return On Equity (TTM),-1.591,0.1967,Effectiveness,-8.088459583121503
Return On Assets (TTM),-0.2462,0.0016,Effectiveness,-153.875
Return On Investment (TTM),-0.2958,0.0219,Effectiveness,-13.506849315068495
Revenue Per Employee (TTM),1042913.0,1476201.0,Effectiveness,0.7064844150627184
Total Debt/Total Capital (MRQ),0.7817000000000001,0.4675,Financial strength,1.6720855614973262
Change in Debt/Total Capital Quarter over Quarter,0.0019,0.0036,Financial strength,0.5277777777777778
Quick Ratio (MRQ),3.99,2.06,Financial strength,1.9368932038834952
Interest Coverage (MRQ),-40.34,2.69,Financial strength,-14.996282527881043
