,SRPT
% Below High,0.0537
% Held by Institutions,0.8695
52-Wk Range,['61.28 - 123.74']
Annual Dividend $,
Annual Dividend %,
Ask,117.15
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.1
Bid,117.04
Bid Size,100.0
Day Change $,2.53
Day Change %,0.022099999999999998
Day High,123.74
Day Low,116.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.21
Ex-dividend Date,No dividend
Historical Volatility,0.45299999999999996
Last (size),200.0
Last (time),3:16p ET 11/28/22
Market Cap,10.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,114.57
Price,117.1
Short Interest,0.08779999999999999
Today's Open,120.16
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.3656597774244832
Growth 1yr High Est,0.35338345864661647
Growth 1yr Consensus Est,0.35952161803554983
Growth 2yr Low Est,0.16653186775764328
Growth 2yr High Est,-0.1603453077137288
Growth 2yr Consensus Est,0.0030932800219572454
Growth 5yr Low Est,0.048925514253262824
Growth 5yr High Est,-0.23111070828713995
Growth 5yr Consensus Est,-0.09109259701693856
Growth 5yr Actual/Est,-0.10150831286235262
Growth 3yr Historic,-0.13585831591541483
Price/Earnings (TTM),
Price/Sales (TTM),11.48026
Price/Book (MRQ),23.339
Price/Cash Flow (TTM),
5yr Low,50.68
5yr High,181.83
5yr Avg Return,0.21676666666666666
EPS Growth 5yr,
Revenue Growth 5yr,1.645072
Dividend Growth 5yr,
Short Int Current Month,7350540.0
Short Int Prev Month,8038837.0
Short Int Pct of Float,0.0878312
Days to Cover,6.89391
Float,83.6843
Shares Outstanding,87.78258
Institutions Holding Shares,488.0
FCF Growth 5yr,0.11054690003671164
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8391
Operating Profit Margin (TTM),-0.7541
Net Profit Margin (TTM),-0.8176000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1119
EPS Growth (TTM),-0.3397
Revenue Growth (MRQ),-0.0138
Revenue Growth (TTM),0.35700000000000004
Return On Equity (TTM),-1.591
Return On Assets (TTM),-0.2462
Return On Investment (TTM),-0.2958
Revenue Per Employee (TTM),1042913.0
Total Debt/Total Capital (MRQ),0.7817000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),3.99
Interest Coverage (MRQ),-40.34
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2009-07-19 00:00:00
theStreet since,2009-07-19 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
