,FREE
% Above Low,0.3033
% Held by Institutions,0.6849
52-Wk Range,['3.00 - 11.72']
Annual Dividend $,
Annual Dividend %,
Ask,4.0
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.4
Bid,3.38
Bid Size,100.0
Closing Price,3.91
Day Change $,0.06
Day Change %,0.015600000000000001
Day High,3.95
Day Low,3.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.31
Ex-dividend Date,No dividend
Historical Volatility,0.522
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,164.2M
"P/E Ratio (TTM, GAAP)",12.6
Prev Close,3.85
Short Interest,0.038
Today's Open,3.85
Volume,122006.0
Volume 10-day Avg,480112.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-4.0
Growth 2yr High Est,8.0
Growth 2yr Consensus Est,2.0
Growth 5yr Low Est,-4.0
Growth 5yr High Est,8.0
Growth 5yr Consensus Est,2.0
Growth 5yr Actual/Est,inf
Growth 3yr Historic,-1.0
Price/Earnings (TTM),12.59746
Price/Sales (TTM),0.31223
Price/Book (MRQ),0.49832
Price/Cash Flow (TTM),4.45693
5yr Low,3.0
5yr High,14.95
5yr Avg Return,-0.13634999999999997
Short Int Current Month,1307891.0
Short Int Prev Month,1438419.0
Short Int Pct of Float,0.037994400000000005
Days to Cover,3.50489
Float,34.42223
Shares Outstanding,41.98294
Institutions Holding Shares,137.0
FCF Growth 5yr,-4.0962229690567336
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",12.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3017
Operating Profit Margin (TTM),0.0659
Net Profit Margin (TTM),0.023700000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5351
EPS Growth (TTM),1.7264
Revenue Growth (MRQ),0.0223
Revenue Growth (TTM),0.402
Return On Equity (TTM),0.0395
Return On Assets (TTM),0.013600000000000001
Return On Investment (TTM),0.015500000000000002
Revenue Per Employee (TTM),705705.0
Total Debt/Total Capital (MRQ),0.5697
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),1.23
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-30 00:00:00
researchTeam since,2022-08-21 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
