,TW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",44.97,20.51,Valuation,2.192588980984885
Price/Sales (TTM),11.62,12.46,Valuation,0.9325842696629212
Price/Book (MRQ),2.8,4.63,Valuation,0.6047516198704104
"PEG Ratio (TTM, GAAP)",3.27,2.67,Valuation,1.2247191011235956
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.3515,0.269,Profitability,1.3066914498141262
Net Profit Margin (TTM),0.27340000000000003,0.1791,Profitability,1.5265214963707427
Annual Dividend Yield,0.0055000000000000005,0.0257,Dividend,0.21400778210116733
Dividend Change %,0.0,0.2049,Dividend,0.0
"Dividend Growth Rate, 3 Years",,0.1213,Dividend,
EPS Growth (MRQ),0.0125,-0.2356,Gowth rates,-0.05305602716468591
EPS Growth (TTM),0.1353,-0.0768,Gowth rates,-1.7617187500000002
Revenue Growth (MRQ),-0.0337,0.0931,Gowth rates,-0.3619763694951665
Revenue Growth (TTM),0.1356,0.0447,Gowth rates,3.033557046979866
Return On Equity (TTM),0.056900000000000006,0.1783,Effectiveness,0.31912507010656205
Return On Assets (TTM),0.053099999999999994,0.0492,Effectiveness,1.0792682926829267
Return On Investment (TTM),0.061500000000000006,0.1008,Effectiveness,0.6101190476190477
Revenue Per Employee (TTM),1121054.0,1125238.0,Effectiveness,0.9962816755210898
Total Debt/Total Capital (MRQ),0.0,0.5241,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0008,Financial strength,
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,21.92,Financial strength,
