,TW
% Above Low,0.1294
% Held by Institutions,0.9568000000000001
52-Wk Range,['51.47 - 102.33']
Annual Dividend $,0.32
Annual Dividend %,0.0055000000000000005
Ask,58.47
Ask Size,3200.0
B/A Ratio,0.03125
B/A Size,100x3200
Beta,0.9
Bid,57.89
Bid Size,100.0
Closing Price,58.13
Day Change $,-0.02
Day Change %,-0.0003
Day High,58.15
Day Low,57.5
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.29
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.306
Last (size),69100.0
Last (time),4:00p ET 11/28/22
Market Cap,12.1B
"P/E Ratio (TTM, GAAP)",44.97
Prev Close,58.15
Short Interest,0.0279
Today's Open,57.88
Volume,1182999.0
Volume 10-day Avg,589985.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.13749999999999996
Growth 1yr High Est,0.11904761904761907
Growth 1yr Consensus Est,0.1282738095238095
Growth 2yr Low Est,0.12644230769230758
Growth 2yr High Est,0.16058763931104358
Growth 2yr Consensus Est,0.14351497350167558
Growth 5yr Low Est,0.2325519296347301
Growth 5yr High Est,0.22206368549659505
Growth 5yr Consensus Est,0.22730780756566257
Growth 5yr Actual/Est,0.2042043521899169
Growth 3yr Historic,0.1353261280326506
Price/Earnings (TTM),44.96945
Price/Sales (TTM),11.62177
Price/Book (MRQ),2.80098
Price/Cash Flow (TTM),27.34954
5yr Low,33.23
5yr High,102.33
5yr Avg Return,0.216425
EPS Growth 5yr,0.2115741
Revenue Growth 5yr,0.1694287
Dividend Growth 5yr,
Short Int Current Month,3099494.0
Short Int Prev Month,3556327.0
Short Int Pct of Float,0.027936000000000002
Days to Cover,3.37005
Float,110.9337
Shares Outstanding,234.3585
Institutions Holding Shares,484.0
FCF Growth 5yr,2.029423477873826
"Price/Earnings (TTM, GAAP)",44.97
"PEG Ratio (TTM, GAAP)",3.27
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3515
Net Profit Margin (TTM),0.27340000000000003
Annual Dividend Yield,0.0055000000000000005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0125
EPS Growth (TTM),0.1353
Revenue Growth (MRQ),-0.0337
Revenue Growth (TTM),0.1356
Return On Equity (TTM),0.056900000000000006
Return On Assets (TTM),0.053099999999999994
Return On Investment (TTM),0.061500000000000006
Revenue Per Employee (TTM),1121054.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-06-09 00:00:00
theStreet since,2022-11-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
