,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,50.48,69.06,102.33,100.25,,,,,
low,33.68,33.23,59.35,51.47,,,,,
change,0.3529,0.3393,0.5918,-0.4183,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,993.0,864.0,986.0,1135.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,130.0,165.0,156.0,150.0,Balance Sheet
Prov. for Doubtful Accts,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,130.0,256.0,157.0,151.0,Balance Sheet
Total Current Assets,,,,,,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,,101.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,,101.0,Balance Sheet
Accumulated Depreciation,,,,,,,,-67.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,52.0,64.0,62.0,59.0,Balance Sheet
"Goodwill, Net",,,,,2780.0,2780.0,2780.0,2780.0,Balance Sheet
Intangibles - Gross,,,,,1778.0,1787.0,1796.0,1805.0,Balance Sheet
Accum. Intangible Amort.,,,,,-441.0,-481.0,-521.0,-561.0,Balance Sheet
Intangibles - Net,,,,,1336.0,1305.0,1275.0,1244.0,Balance Sheet
Note Rcvble - Long Term,,,,,3.0,2.0,6.0,9.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,619.0,651.0,639.0,677.0,Balance Sheet
Restricted Cash - LT,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Other Assets,,,,,76.0,77.0,84.0,80.0,Balance Sheet
"Other Assets, Total",,,,,76.0,77.0,84.0,80.0,Balance Sheet
Total Assets,,,,,5990.0,6001.0,5990.0,6137.0,Balance Sheet
Accounts Payable,,,,,0.0,71.0,2.0,1.0,Balance Sheet
Payable/Accrued,,,,,39.0,47.0,40.0,37.0,Balance Sheet
Accrued Expenses,,,,,179.0,107.0,121.0,152.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,21.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,5.0,5.0,3.0,5.0,Balance Sheet
Total Current Liabilities,,,,,,,,,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,21.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,,21.0,21.0,20.0,20.0,Balance Sheet
Minority Interest,,,,,663.0,645.0,656.0,585.0,Balance Sheet
"Other Liabilities, Total",,,,,437.0,437.0,433.0,468.0,Balance Sheet
Total Liabilities,,,,,1345.0,1353.0,1275.0,1268.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,4401.0,4389.0,4420.0,4542.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,243.0,262.0,305.0,348.0,Balance Sheet
"Other Equity, Total",,,,,2.0,-2.0,-10.0,-22.0,Balance Sheet
Total Equity,,,,,4646.0,4649.0,4715.0,4869.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,5990.0,6001.0,5990.0,6137.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,106.0,107.0,108.0,111.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,97.0,97.0,97.0,97.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,2.0,2.0,2.0,3.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 4,,,,,29.0,28.0,28.0,23.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,234.0,234.0,235.0,235.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 4,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,276883.0,311486.0,297138.0,287115.0,Income Statement
Selling/Gen/Admin Expense,,,,,34897.0,37443.0,35871.0,36807.0,Income Statement
Labor & Related Expense,,,,,107153.0,117991.0,109890.0,102720.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,142050.0,155434.0,145761.0,139527.0,Income Statement
Depreciation/Amortization,,,,,43652.0,44450.0,44770.0,44778.0,Income Statement
Total Operating Expense,,,,,185702.0,199884.0,190531.0,184305.0,Income Statement
Total Operating Income,,,,,91181.0,111602.0,106607.0,102810.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,-411.0,-447.0,541.0,3413.0,Income Statement
"Other, Net",,,,,12745.0,,,0.0,Income Statement
Income Before Tax,,,,,103515.0,111155.0,107148.0,106223.0,Income Statement
Income Tax - Total,,,,,43510.0,13710.0,25548.0,24657.0,Income Statement
Income After Tax,,,,,60005.0,97445.0,81600.0,81566.0,Income Statement
Minority Interest,,,,,-11115.0,-14480.0,-13256.0,-12483.0,Income Statement
Net Inc Before Extra Items,,,,,48890.0,82965.0,68344.0,69083.0,Income Statement
Total Net Income,,,,,48890.0,82965.0,68344.0,69083.0,Income Statement
Total Adjust to Net Income,,,,,,-27.0,-26.0,-82.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,48890.0,82938.0,68318.0,69001.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,48890.0,82938.0,68318.0,69001.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,202589.0,204392.0,204501.0,205721.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.24,0.41,0.33,0.34,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.24,0.41,0.33,0.34,Income Statement
Diluted Weighted Average Shares,,,,,208294.0,207322.0,207273.0,208329.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.23,0.4,0.33,0.33,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.23,0.4,0.33,0.33,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.08,0.08,0.08,0.08,Income Statement
Gross Divid - Common Stock,,,,,16214.0,16350.0,16360.0,16653.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,16852.0,4700.0,4970.0,5000.0,Income Statement
Total Special Items,,,,,-113.0,-18.0,15.0,43.0,Income Statement
Normalzd Income Before Tax,,,,,103402.0,111137.0,107163.0,106266.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,-48.0,-2.0,4.0,10.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,43463.0,13708.0,25552.0,24667.0,Income Statement
Normalized Income After Tax,,,,,59940.0,97429.0,81611.0,81599.0,Income Statement
Normalzd Inc Avail to Common,,,,,48825.0,82922.0,68329.0,69034.0,Income Statement
Basic Normalized EPS,,,,,0.24,0.41,0.33,0.34,Income Statement
Diluted Normalized EPS,,,,,0.23,0.4,0.33,0.33,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,273.0,97.0,179.0,261.0,Cash Flow
Depreciation/Depletion,,,,,171.0,44.0,89.0,134.0,Cash Flow
Deferred Taxes,,,,,85.0,12.0,31.0,49.0,Cash Flow
Non-Cash Items,,,,,39.0,14.0,35.0,49.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,4.0,3.0,5.0,11.0,Cash Flow
Accounts Receivable,,,,,-27.0,-56.0,-35.0,-35.0,Cash Flow
Other Assets,,,,,15.0,-16.0,-14.0,-10.0,Cash Flow
Accounts Payable,,,,,-2.0,0.0,0.0,0.0,Cash Flow
Accrued Expenses,,,,,25.0,-81.0,-62.0,-26.0,Cash Flow
Payable/Accrued,,,,,-3.0,8.0,1.0,-1.0,Cash Flow
Changes in Working Capital,,,,,9.0,-122.0,-110.0,-68.0,Cash Flow
Total Cash from Operations,,,,,578.0,45.0,223.0,425.0,Cash Flow
Purchase of Fixed Assets,,,,,-17.0,-9.0,-15.0,-18.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-34.0,-9.0,-18.0,-27.0,Cash Flow
Capital Expenditures,,,,,-51.0,-18.0,-33.0,-45.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-208.0,,0.0,0.0,Cash Flow
Total Cash from Investing,,,,,-259.0,-18.0,-33.0,-45.0,Cash Flow
Financing Cash Flow Items,,,,,-89.0,-105.0,-112.0,-117.0,Cash Flow
Total Cash Dividends Paid,,,,,-65.0,-16.0,-33.0,-49.0,Cash Flow
Sale/Issuance of Common,,,,,0.0,,,,Cash Flow
Repurch/Retirement Common,,,,,-76.0,-47.0,-56.0,-65.0,Cash Flow
"Common Stock, Net",,,,,-76.0,-47.0,-56.0,-65.0,Cash Flow
Options Exercised,,,,,93.0,1.0,8.0,10.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,17.0,-47.0,-49.0,-56.0,Cash Flow
Total Cash From Financing,,,,,-136.0,-168.0,-193.0,-222.0,Cash Flow
Foreign Exchange Effects,,,,,-2.0,-3.0,-9.0,-19.0,Cash Flow
Net Change in Cash,,,,,181.0,-144.0,-12.0,138.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,792.0,973.0,973.0,973.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,973.0,829.0,961.0,1111.0,Cash Flow
"Depreciation, Supplemental",,,,,171.0,44.0,89.0,134.0,Cash Flow
Free Cash Flow,,,,,527.0,27.0,190.0,380.0,
FCF Growth,,,,,,-0.9487666034155597,6.037037037037037,1.0,
