,PFS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.39,10.14,Valuation,1.02465483234714
Price/Sales (TTM),3.5,3.47,Valuation,1.0086455331412103
Price/Book (MRQ),1.1,9.31,Valuation,0.11815252416756176
"PEG Ratio (TTM, GAAP)",,4.08,Valuation,
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.46130000000000004,0.4806,Profitability,0.9598418643362464
Net Profit Margin (TTM),0.3362,0.36590000000000006,Profitability,0.9188302814976768
Annual Dividend Yield,0.0424,0.028300000000000002,Dividend,1.4982332155477032
Dividend Change %,0.010900000000000002,0.0643,Dividend,0.16951788491446348
"Dividend Growth Rate, 3 Years",0.0429,0.11699999999999999,Dividend,0.3666666666666667
EPS Growth (MRQ),0.107,-0.049,Gowth rates,-2.183673469387755
EPS Growth (TTM),-0.0229,0.024900000000000002,Gowth rates,-0.9196787148594376
Revenue Growth (MRQ),0.14529999999999998,-0.0564,Gowth rates,-2.576241134751773
Revenue Growth (TTM),0.0745,-0.10250000000000001,Gowth rates,-0.7268292682926828
Return On Equity (TTM),0.1015,0.1595,Effectiveness,0.6363636363636364
Return On Assets (TTM),0.0121,0.0533,Effectiveness,0.2270168855534709
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),,656704.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.2934,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,-0.0009,Financial strength,1.888888888888889
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,6.57,Financial strength,
