,PFS
% Above Low,0.1721
% Held by Institutions,0.6747
52-Wk Range,['19.18 - 26.20']
Annual Dividend $,0.96
Annual Dividend %,0.0424
Ask,22.49
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,22.46
Bid Size,200.0
Day Change $,-0.16
Day Change %,-0.0070999999999999995
Day High,22.57
Day Low,22.35
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.18
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.264
Last (size),100.0
Last (time),10:39a ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",10.39
Prev Close,22.64
Price,22.48
Short Interest,0.040999999999999995
Today's Open,22.52
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.051162790697674376
Growth 1yr High Est,0.07272727272727253
Growth 1yr Consensus Est,0.06194503171247345
Growth 2yr Low Est,-0.027515949783906146
Growth 2yr High Est,0.10839753466872104
Growth 2yr Consensus Est,0.04044079244240745
Growth 5yr Low Est,0.04338488225090403
Growth 5yr High Est,0.11318753137930437
Growth 5yr Consensus Est,0.0782862068151042
Growth 5yr Actual/Est,0.124601511516342
Growth 3yr Historic,0.09359753576449184
Price/Earnings (TTM),10.38808
Price/Sales (TTM),3.49543
Price/Book (MRQ),1.09716
Price/Cash Flow (TTM),9.63471
5yr Low,9.05
5yr High,29.12
5yr Avg Return,-0.020400000000000005
EPS Growth 5yr,0.09787620000000001
Revenue Growth 5yr,0.058830600000000004
Dividend Growth 5yr,0.0554676
Short Int Current Month,2887149.0
Short Int Prev Month,2884868.0
Short Int Pct of Float,0.0410481
Days to Cover,9.22041
Float,70.52236
Shares Outstanding,75.27504
Institutions Holding Shares,276.0
FCF Growth 5yr,0.37996031746031744
"Price/Earnings (TTM, GAAP)",10.39
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.46130000000000004
Net Profit Margin (TTM),0.3362
Annual Dividend Yield,0.0424
Dividend Change %,0.010900000000000002
"Dividend Growth Rate, 3 Years",0.0429
EPS Growth (MRQ),0.107
EPS Growth (TTM),-0.0229
Revenue Growth (MRQ),0.14529999999999998
Revenue Growth (TTM),0.0745
Return On Equity (TTM),0.1015
Return On Assets (TTM),0.0121
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-03-25 00:00:00
theStreet since,2020-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
