,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,68.21,92.84,88.22,,,,,
low,38.0,61.28,62.49,,,,,
change,0.6888,0.289,-0.1076,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,1565.0,1235.0,1218.0,1034.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,3407.0,3450.0,3355.0,3259.0,Balance Sheet
Prov. for Doubtful Accts,,,,-175.0,-188.0,-166.0,-156.0,Balance Sheet
"Total Receivables, Net",,,,3782.0,3800.0,3797.0,3744.0,Balance Sheet
Invent. - Finished Goods,,,,482.0,490.0,461.0,454.0,Balance Sheet
Invent. - Raw Materials,,,,140.0,136.0,135.0,149.0,Balance Sheet
Total Inventory,,,,622.0,626.0,596.0,603.0,Balance Sheet
Restricted Cash - Current,,,,1910.0,1841.0,12.0,7.0,Balance Sheet
Other Current Assets,,,,382.0,342.0,527.0,441.0,Balance Sheet
"Other Curr. Assets, Total",,,,2292.0,2183.0,539.0,448.0,Balance Sheet
Total Current Assets,,,,8261.0,7844.0,6150.0,5829.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,1930.0,1901.0,1865.0,1771.0,Balance Sheet
Accumulated Depreciation,,,,-1156.0,-1144.0,-1141.0,-1079.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,1300.0,1299.0,1236.0,1156.0,Balance Sheet
"Goodwill, Net",,,,1667.0,1636.0,1550.0,1448.0,Balance Sheet
Intangibles - Gross,,,,2117.0,,,1892.0,Balance Sheet
Accum. Intangible Amort.,,,,-1698.0,,,-1546.0,Balance Sheet
Intangibles - Net,,,,419.0,397.0,385.0,346.0,Balance Sheet
Note Rcvble - Long Term,,,,335.0,311.0,306.0,290.0,Balance Sheet
Other Long Term Assets,,,,297.0,308.0,286.0,273.0,Balance Sheet
Total Assets,,,,12279.0,11795.0,9913.0,9342.0,Balance Sheet
Accounts Payable,,,,1556.0,1507.0,1616.0,1521.0,Balance Sheet
Accrued Expenses,,,,1993.0,1754.0,1903.0,1662.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,22.0,55.0,71.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,24.0,29.0,26.0,32.0,Balance Sheet
"Other Curr. Lblts, Total",,,,2674.0,2930.0,2738.0,2706.0,Balance Sheet
Total Current Liabilities,,,,6247.0,6242.0,6338.0,5992.0,Balance Sheet
Total Long Term Debt,,,,7249.0,6694.0,6602.0,6459.0,Balance Sheet
Total Debt,,,,7273.0,6745.0,6683.0,6562.0,Balance Sheet
Minority Interest,,,,641.0,2088.0,245.0,180.0,Balance Sheet
Pension Benefits - Underfunded,,,,558.0,547.0,531.0,505.0,Balance Sheet
Other LT Liabilities,,,,1209.0,1253.0,1194.0,1119.0,Balance Sheet
"Other Liabilities, Total",,,,1767.0,1800.0,1725.0,1624.0,Balance Sheet
Total Liabilities,,,,15904.0,16824.0,14910.0,14255.0,Balance Sheet
Common Stock,,,,119.0,121.0,121.0,134.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-2256.0,-3529.0,-3245.0,-3042.0,Balance Sheet
Treasury Stock - Common,,,,-725.0,-925.0,-1125.0,-1425.0,Balance Sheet
Cum. Trans. Adjustment,,,,-642.0,-577.0,-631.0,-461.0,Balance Sheet
Min. Pension Lblty Adj.,,,,-128.0,-126.0,-124.0,-122.0,Balance Sheet
Other Comprehensive Income,,,,7.0,7.0,7.0,3.0,Balance Sheet
"Other Equity, Total",,,,-763.0,-696.0,-748.0,-580.0,Balance Sheet
Total Equity,,,,-3625.0,-5029.0,-4997.0,-4913.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,12279.0,11795.0,9913.0,9342.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,425.0,423.0,420.0,417.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,10.0,12.0,15.0,19.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,3569.0,3414.0,3488.0,3344.0,Income Statement
"Cost of Revenue, Total",,,,2530.0,2408.0,2505.0,2373.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,482.0,448.0,425.0,413.0,Income Statement
Research & Development,,,,46.0,37.0,38.0,37.0,Income Statement
Restructuring Charge,,,,18.0,11.0,14.0,4.0,Income Statement
Other Unusual Expnse (In),,,,3.0,,,,Income Statement
Unusual Expense (Income),,,,21.0,11.0,14.0,4.0,Income Statement
"Other Operat Expse, Total",,,,-6.0,-16.0,19.0,-12.0,Income Statement
Total Operating Expense,,,,3073.0,2888.0,3001.0,2815.0,Income Statement
Total Operating Income,,,,496.0,526.0,487.0,529.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,-44.0,-37.0,-35.0,-35.0,Income Statement
"Other, Net",,,,-5.0,0.0,-1.0,-1.0,Income Statement
Income Before Tax,,,,447.0,489.0,451.0,493.0,Income Statement
Income Tax - Total,,,,137.0,136.0,103.0,143.0,Income Statement
