,OTIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",27.06,24.01,Valuation,1.1270304039983339
Price/Sales (TTM),2.37,3.06,Valuation,0.7745098039215687
Price/Book (MRQ),,7.44,Valuation,
"PEG Ratio (TTM, GAAP)",3.81,1.49,Valuation,2.557046979865772
Gross Profit Margin (TTM),0.2895,0.32799999999999996,Profitability,0.8826219512195123
Operating Profit Margin (TTM),0.1475,0.0198,Profitability,7.449494949494948
Net Profit Margin (TTM),0.0985,-0.0086,Profitability,-11.453488372093023
Annual Dividend Yield,0.0147,0.0143,Dividend,1.027972027972028
Dividend Change %,0.5333,0.1666,Dividend,3.201080432172869
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),0.0165,0.3518,Gowth rates,0.04690164866401365
EPS Growth (TTM),0.0347,0.16149999999999998,Gowth rates,0.21486068111455112
Revenue Growth (MRQ),-0.041299999999999996,0.196,Gowth rates,-0.2107142857142857
Revenue Growth (TTM),-0.0286,0.1475,Gowth rates,-0.1938983050847458
Return On Equity (TTM),,0.2859,Effectiveness,
Return On Assets (TTM),0.1374,0.0851,Effectiveness,1.6145710928319623
Return On Investment (TTM),0.40880000000000005,0.12490000000000001,Effectiveness,3.2730184147317853
Revenue Per Employee (TTM),197357.0,343373.0,Effectiveness,0.5747598093035853
Total Debt/Total Capital (MRQ),3.5877999999999997,0.6352000000000001,Financial strength,5.64829974811083
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002,0.0189,Financial strength,0.1798941798941799
Quick Ratio (MRQ),0.87,1.07,Financial strength,0.8130841121495327
Interest Coverage (MRQ),15.29,20.9,Financial strength,0.7315789473684211
