,OTIS
% Below High,0.12
% Held by Institutions,0.8593000000000001
52-Wk Range,['62.49 - 88.22']
Annual Dividend $,1.16
Annual Dividend %,0.0147
Ask,77.69
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,77.62
Bid Size,200.0
Day Change $,-1.04
Day Change %,-0.0132
Day High,78.36
Day Low,77.46
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",2.91
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.268
Last (size),4.0
Last (time),9:48a ET 11/28/22
Market Cap,32.3B
"P/E Ratio (TTM, GAAP)",27.06
Prev Close,78.67
Price,77.64
Short Interest,0.0129
Today's Open,78.02
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.027397260273972712
Growth 1yr High Est,-0.02752293577981646
Growth 1yr Consensus Est,-6.283775292187377e-05
Growth 2yr Low Est,0.05703196347031969
Growth 2yr High Est,0.041269978650972206
Growth 2yr Consensus Est,0.04915097106064595
Growth 5yr Low Est,0.13536644172357595
Growth 5yr High Est,0.11021052011845982
Growth 5yr Consensus Est,0.12278848092101789
Growth 5yr Actual/Est,0.10787369145390187
Growth 3yr Historic,0.06481481481481481
Price/Earnings (TTM),27.0604
Price/Sales (TTM),2.37226
Price/Book (MRQ),
Price/Cash Flow (TTM),21.0487
5yr Low,38.0
5yr High,92.84
5yr Avg Return,0.29006666666666664
Short Int Current Month,5355783.0
Short Int Prev Month,5811330.0
Short Int Pct of Float,0.0128629
Days to Cover,2.3372
Float,416.3592
Shares Outstanding,416.5861
Institutions Holding Shares,1399.0
FCF Growth 5yr,0.0846262774257192
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",27.06
"PEG Ratio (TTM, GAAP)",3.81
Gross Profit Margin (TTM),0.2895
Operating Profit Margin (TTM),0.1475
Net Profit Margin (TTM),0.0985
Annual Dividend Yield,0.0147
Dividend Change %,0.5333
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0165
EPS Growth (TTM),0.0347
Revenue Growth (MRQ),-0.041299999999999996
Revenue Growth (TTM),-0.0286
Return On Equity (TTM),
Return On Assets (TTM),0.1374
Return On Investment (TTM),0.40880000000000005
Revenue Per Employee (TTM),197357.0
Total Debt/Total Capital (MRQ),3.5877999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0034000000000000002
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),15.29
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-16 00:00:00
theStreet since,2021-08-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-31 00:00:00
ford since,2022-04-14 00:00:00
marketEdge opinion since,
