,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,43.63,26.77,36.67,46.45,25.98,,,,,
low,16.25,12.6,9.04,23.0,8.22,,,,,
change,-0.227,0.1642,0.5927,-0.2644,-0.5617,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,146534.0,134949.0,70633.0,62184.0,Balance Sheet
Short Term Investments,,,,,,,,50000.0,50190.0,Balance Sheet
Cash and Short Term Invs,,,,,,146534.0,134949.0,120633.0,112374.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,41877.0,37215.0,46244.0,44090.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-303.0,-303.0,-300.0,-287.0,Balance Sheet
"Total Receivables, Net",,,,,,51231.0,51034.0,53564.0,51284.0,Balance Sheet
Invent. - Finished Goods,,,,,,16919.0,18102.0,17054.0,18043.0,Balance Sheet
Invent. - Work In Progress,,,,,,24642.0,26645.0,25454.0,24213.0,Balance Sheet
Invent. - Raw Materials,,,,,,32185.0,32493.0,37681.0,38404.0,Balance Sheet
Total Inventory,,,,,,73746.0,77240.0,80189.0,80660.0,Balance Sheet
Prepaid Expenses,,,,,,5590.0,6276.0,6997.0,6657.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,103.0,,,,Balance Sheet
Total Current Assets,,,,,,277204.0,269499.0,261383.0,250975.0,Balance Sheet
Buildings,,,,,,37517.0,38215.0,39863.0,40260.0,Balance Sheet
Land/Improvements,,,,,,3399.0,3399.0,3399.0,3399.0,Balance Sheet
Machinery/Equipment,,,,,,87724.0,91635.0,95480.0,97343.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,19523.0,20175.0,17815.0,16905.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,148163.0,153424.0,156557.0,157907.0,Balance Sheet
Accumulated Depreciation,,,,,,-75014.0,-77469.0,-78952.0,-80203.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,74602.0,75955.0,77605.0,77704.0,Balance Sheet
"Goodwill, Net",,,,,,12420.0,12405.0,12359.0,12313.0,Balance Sheet
Intangibles - Gross,,,,,,16224.0,16292.0,16273.0,16224.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-9526.0,-10296.0,-10976.0,-11548.0,Balance Sheet
Intangibles - Net,,,,,,6698.0,5996.0,5297.0,4676.0,Balance Sheet
Other Long Term Assets,,,,,,2444.0,3808.0,3580.0,2634.0,Balance Sheet
Total Assets,,,,,,373618.0,367913.0,360474.0,348553.0,Balance Sheet
Accounts Payable,,,,,,26347.0,23124.0,23318.0,19755.0,Balance Sheet
Accrued Expenses,,,,,,17796.0,16525.0,16170.0,17245.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,1629.0,983.0,2034.0,1736.0,Balance Sheet
Total Current Liabilities,,,,,,45772.0,40632.0,41522.0,38736.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,25713.0,26703.0,25098.0,23979.0,Balance Sheet
Total Liabilities,,,,,,71485.0,67335.0,66620.0,62715.0,Balance Sheet
Common Stock,,,,,,15.0,15.0,15.0,16.0,Balance Sheet
Additional Paid-In Capital,,,,,,470760.0,477924.0,483410.0,489867.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-168055.0,-176678.0,-187020.0,-199975.0,Balance Sheet
"Other Equity, Total",,,,,,-587.0,-683.0,-2551.0,-4070.0,Balance Sheet
Total Equity,,,,,,302133.0,300578.0,293854.0,285838.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,373618.0,367913.0,360474.0,348553.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,44248.0,44538.0,45074.0,45303.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,67453.0,64459.0,60827.0,60093.0,Income Statement
"Cost of Revenue, Total",,,,,,49511.0,48282.0,45442.0,46617.0,Income Statement
Selling/Gen/Admin Expense,,,,,,8385.0,8053.0,9035.0,10127.0,Income Statement
Labor & Related Expense,,,,,,4238.0,2722.0,2879.0,3614.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,12623.0,10775.0,11914.0,13741.0,Income Statement
Research & Development,,,,,,13984.0,13711.0,13788.0,12716.0,Income Statement
Total Operating Expense,,,,,,76118.0,72768.0,71144.0,73074.0,Income Statement
Total Operating Income,,,,,,-8665.0,-8309.0,-10317.0,-12981.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-37.0,0.0,71.0,167.0,Income Statement
"Other, Net",,,,,,90.0,29.0,-106.0,-31.0,Income Statement
Income Before Tax,,,,,,-8612.0,-8280.0,-10352.0,-12845.0,Income Statement
Income Tax - Total,,,,,,138.0,343.0,-10.0,110.0,Income Statement
Income After Tax,,,,,,-8750.0,-8623.0,-10342.0,-12955.0,Income Statement
Net Inc Before Extra Items,,,,,,-8750.0,-8623.0,-10342.0,-12955.0,Income Statement
Total Net Income,,,,,,-8750.0,-8623.0,-10342.0,-12955.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-8750.0,-8623.0,-10342.0,-12955.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-8750.0,-8623.0,-10342.0,-12955.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,43291.0,43655.0,44178.0,44786.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.2,-0.2,-0.23,-0.29,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.2,-0.2,-0.23,-0.29,Income Statement
Diluted Weighted Average Shares,,,,,,43291.0,43655.0,44178.0,44786.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.2,-0.2,-0.23,-0.29,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.2,-0.2,-0.23,-0.29,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
