,LASR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,21.62,Valuation,
Price/Sales (TTM),1.89,5.43,Valuation,0.34806629834254144
Price/Book (MRQ),1.67,5.49,Valuation,0.3041894353369763
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.24910000000000002,0.33659999999999995,Profitability,0.7400475341651813
Operating Profit Margin (TTM),-0.1593,-0.0824,Profitability,1.933252427184466
Net Profit Margin (TTM),-0.16090000000000002,-0.1173,Profitability,1.371696504688832
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.2356,0.1058,Gowth rates,-2.226843100189036
EPS Growth (TTM),-0.4969,-0.0147,Gowth rates,33.802721088435376
Revenue Growth (MRQ),-0.0121,0.1655,Gowth rates,-0.07311178247734139
Revenue Growth (TTM),-0.057999999999999996,0.1855,Gowth rates,-0.3126684636118598
Return On Equity (TTM),-0.1379,0.23850000000000002,Effectiveness,-0.5781970649895177
Return On Assets (TTM),-0.11130000000000001,0.0752,Effectiveness,-1.4800531914893618
Return On Investment (TTM),-0.1272,0.1041,Effectiveness,-1.2219020172910664
Revenue Per Employee (TTM),194486.0,449465.0,Effectiveness,0.43270554993158533
Total Debt/Total Capital (MRQ),0.0,0.3575,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0362,Financial strength,
Quick Ratio (MRQ),4.4,1.53,Financial strength,2.8758169934640523
Interest Coverage (MRQ),,15.46,Financial strength,
