,LASR
% Above Low,0.28350000000000003
% Held by Institutions,0.8648
52-Wk Range,['8.22 - 26.69']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.3
Bid,
Bid Size,
Closing Price,10.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.92
Ex-dividend Date,No dividend
Historical Volatility,0.643
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,478.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.55
Short Interest,0.030299999999999997
Today's Open,
Volume,37231.0
Volume 10-day Avg,172906.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,18.5
Growth 1yr High Est,-5.25
Growth 1yr Consensus Est,6.625
Growth 2yr Low Est,9.403846153846153
Growth 2yr High Est,-2.6691176470588234
Growth 2yr Consensus Est,3.367364253393665
Growth 5yr Low Est,4.701923076923077
Growth 5yr High Est,-1.3345588235294117
Growth 5yr Consensus Est,1.6836821266968325
Growth 5yr Actual/Est,0.6274865018471156
Growth 3yr Historic,1.2549019607843137
Price/Earnings (TTM),
Price/Sales (TTM),1.89054
Price/Book (MRQ),1.67209
Price/Cash Flow (TTM),
5yr Low,8.22
5yr High,46.45
5yr Avg Return,-0.05923999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.21667999999999998
Dividend Growth 5yr,
Short Int Current Month,1326132.0
Short Int Prev Month,1246555.0
Short Int Pct of Float,0.0302806
Days to Cover,4.14054
Float,43.79381
Shares Outstanding,45.3071
Institutions Holding Shares,191.0
FCF Growth 5yr,0.24291146744062533
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.24910000000000002
Operating Profit Margin (TTM),-0.1593
Net Profit Margin (TTM),-0.16090000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2356
EPS Growth (TTM),-0.4969
Revenue Growth (MRQ),-0.0121
Revenue Growth (TTM),-0.057999999999999996
Return On Equity (TTM),-0.1379
Return On Assets (TTM),-0.11130000000000001
Return On Investment (TTM),-0.1272
Revenue Per Employee (TTM),194486.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.4
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-02-22 00:00:00
theStreet since,2022-02-22 00:00:00
ford since,2022-01-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
