,COCO
% Above Low,0.5995
% Held by Institutions,0.5388000000000001
52-Wk Range,['7.39 - 16.57']
Annual Dividend $,
Annual Dividend %,
Ask,12.0
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,
Bid,10.24
Bid Size,1000.0
Closing Price,11.82
Day Change $,0.29
Day Change %,0.0252
Day High,11.99
Day Low,11.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.13
Ex-dividend Date,No dividend
Historical Volatility,0.75
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,661.6M
"P/E Ratio (TTM, GAAP)",93.44
Prev Close,11.53
Short Interest,0.048499999999999995
Today's Open,11.47
Volume,111746.0
Volume 10-day Avg,222492.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.9047619047619049
Growth 2yr High Est,1.2799999999999998
Growth 2yr Consensus Est,1.0923809523809522
Growth 5yr Low Est,0.9047619047619049
Growth 5yr High Est,1.2799999999999998
Growth 5yr Consensus Est,1.0923809523809522
Growth 5yr Actual/Est,0.4372670807453417
Growth 3yr Historic,0.0
Price/Earnings (TTM),93.43874
Price/Sales (TTM),1.565
Price/Book (MRQ),4.66772
Price/Cash Flow (TTM),72.15644
5yr Low,7.39
5yr High,18.61
5yr Avg Return,-0.11084999999999999
Short Int Current Month,2187436.0
Short Int Prev Month,2552474.0
Short Int Pct of Float,0.0484955
Days to Cover,4.61378
Float,45.11952
Shares Outstanding,55.92429
Institutions Holding Shares,99.0
FCF Growth 5yr,0.14078933953902498
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",93.44
"PEG Ratio (TTM, GAAP)",3.53
Gross Profit Margin (TTM),0.2427
Operating Profit Margin (TTM),0.0064
Net Profit Margin (TTM),0.0171
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.2852
EPS Growth (TTM),-0.8262999999999999
Revenue Growth (MRQ),0.0758
Revenue Growth (TTM),0.1654
Return On Equity (TTM),0.0611
Return On Assets (TTM),0.0344
Return On Investment (TTM),0.0512
Revenue Per Employee (TTM),1503132.0
Total Debt/Total Capital (MRQ),0.0632
Change in Debt/Total Capital Quarter over Quarter,-0.0077
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-22 00:00:00
newConstructs since,
marketEdge opinion since,
