,EFSC
Price/Earnings (TTM),10.41827
Price/Sales (TTM),3.90586
Price/Book (MRQ),1.42691
Price/Cash Flow (TTM),9.70207
5yr Low,21.7
5yr High,58.15
5yr Avg Return,0.0561
EPS Growth 5yr,0.09890209999999999
Revenue Growth 5yr,0.2076029
Dividend Growth 5yr,0.1283803
Short Int Current Month,393271.0
Short Int Prev Month,495659.0
Short Int Pct of Float,0.0112636
Days to Cover,1.9949
Float,34.93375
Shares Outstanding,37.22332
Institutions Holding Shares,244.0
% Held by Institutions,0.6953109999999999
FCF Growth 5yr,0.4122688577985046
