,KALU
% Below High,0.162
% Held by Institutions,1.0791
52-Wk Range,['59.24 - 107.41']
Annual Dividend $,3.08
Annual Dividend %,0.0342
Ask,95.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,80.0
Bid Size,200.0
Closing Price,90.01
Day Change $,0.78
Day Change %,0.0087
Day High,90.32
Day Low,89.52
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",-0.1
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.48700000000000004
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,89.23
Short Interest,0.042199999999999994
Today's Open,89.7
Volume,20332.0
Volume 10-day Avg,98561.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8462709284627092
Growth 1yr High Est,-0.7456140350877193
Growth 1yr Consensus Est,-0.7959424817752143
Growth 2yr Low Est,1.6808249318082495
Growth 2yr High Est,1.0783424077434967
Growth 2yr Consensus Est,1.3795836697758732
Growth 5yr Low Est,0.8404124659041248
Growth 5yr High Est,0.5391712038717483
Growth 5yr Consensus Est,0.6897918348879364
Growth 5yr Actual/Est,0.5018526062495586
Growth 3yr Historic,-0.19081043722870236
Price/Earnings (TTM),
Price/Sales (TTM),0.41489
Price/Book (MRQ),2.23491
Price/Cash Flow (TTM),13.51051
5yr Low,50.49
5yr High,141.07
5yr Avg Return,-0.0034499999999999973
EPS Growth 5yr,
Revenue Growth 5yr,0.1452941
Dividend Growth 5yr,0.0985605
Short Int Current Month,662412.0
Short Int Prev Month,727070.0
Short Int Pct of Float,0.042167500000000004
Days to Cover,6.98305
Float,15.73934
Shares Outstanding,15.94063
Institutions Holding Shares,235.0
FCF Growth 5yr,0.7019158090586662
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0765
Operating Profit Margin (TTM),0.0141
Net Profit Margin (TTM),-0.0004
Annual Dividend Yield,0.0342
Dividend Change %,0.0746
"Dividend Growth Rate, 3 Years",0.09390000000000001
EPS Growth (MRQ),1.1797
EPS Growth (TTM),0.8902
Revenue Growth (MRQ),-0.2152
Revenue Growth (TTM),0.6566
Return On Equity (TTM),-0.0022
Return On Assets (TTM),-0.0006
Return On Investment (TTM),-0.0008
Revenue Per Employee (TTM),873970.0
Total Debt/Total Capital (MRQ),0.6178
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),0.24
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-05-13 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
