,KALU
Price/Earnings (TTM),
Price/Sales (TTM),0.41489
Price/Book (MRQ),2.23491
Price/Cash Flow (TTM),13.51051
5yr Low,50.49
5yr High,141.07
5yr Avg Return,-0.0034499999999999973
EPS Growth 5yr,
Revenue Growth 5yr,0.1452941
Dividend Growth 5yr,0.0985605
Short Int Current Month,662412.0
Short Int Prev Month,727070.0
Short Int Pct of Float,0.042167500000000004
Days to Cover,6.98305
Float,15.73934
Shares Outstanding,15.94063
Institutions Holding Shares,235.0
% Held by Institutions,1.079102
FCF Growth 5yr,0.7019158090586662
