,MU
% Above Low,0.2056
% Held by Institutions,0.8015000000000001
52-Wk Range,['48.45 - 98.45']
Annual Dividend $,0.46
Annual Dividend %,0.0079
Ask,57.99
Ask Size,100.0
Ask close,62.3
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,57.55
Bid Size,100.0
Bid close,54.88
Change Since Close,-0.51| |(-0.87%)
Closing Price,58.41
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",7.73
Ex-dividend,2022-10-07 00:00:00
Ex-dividend Date,10/07/22
Historical Volatility,0.485
Last (size),28.0
Last (time),1:00p ET 11/25/22
Last Trade,57.9
Market Cap,63.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.55
Prev Close,58.41
Short Interest,0.0302
Today's Open,
Volume,2529.0
Volume 10-day Avg,14088846.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-21 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-1.2040816326530612
Growth 1yr High Est,0.002389486260454099
Growth 1yr Consensus Est,-0.6008460731963036
Growth 2yr Low Est,-1.205374149659864
Growth 2yr High Est,-0.07627843922972533
Growth 2yr Consensus Est,-0.6408262944447947
Growth 5yr Low Est,-0.2053634051512171
Growth 5yr High Est,0.3410858674931513
Growth 5yr Consensus Est,0.06786123117096712
Growth 5yr Actual/Est,2.7036052023986628
Growth 3yr Historic,0.3798076362406558
Price/Earnings (TTM),7.55266
Price/Sales (TTM),2.06455
Price/Book (MRQ),1.28039
Price/Cash Flow (TTM),4.01934
5yr Low,28.39
5yr High,98.45
5yr Avg Return,0.09581666666666669
EPS Growth 5yr,0.11915440000000001
Revenue Growth 5yr,0.0864214
Dividend Growth 5yr,
Short Int Current Month,32724559.0
Short Int Prev Month,31692265.0
Short Int Pct of Float,0.0302039
Days to Cover,2.01537
Float,1084.08
Shares Outstanding,1087.169
Institutions Holding Shares,1789.0
FCF Growth 5yr,0.7707664937580995
"Price/Earnings (TTM, GAAP)",7.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4518
Operating Profit Margin (TTM),0.3127
Net Profit Margin (TTM),0.2823
Annual Dividend Yield,0.0079
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.42460000000000003
EPS Growth (TTM),0.5064
Revenue Growth (MRQ),-0.2313
Revenue Growth (TTM),0.11019999999999999
Return On Equity (TTM),0.18510000000000001
Return On Assets (TTM),0.1388
Return On Investment (TTM),0.1562
Revenue Per Employee (TTM),640792.0
Total Debt/Total Capital (MRQ),0.1216
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),2.01
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-27 00:00:00
cfra since,2021-04-01 00:00:00
ford since,2022-07-08 00:00:00
marketEdge opinion since,
