,USFD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.83,32.14,Valuation,1.3014934660858741
Price/Sales (TTM),0.24,0.72,Valuation,0.3333333333333333
Price/Book (MRQ),2.06,8.68,Valuation,0.2373271889400922
"PEG Ratio (TTM, GAAP)",1.53,0.86,Valuation,1.7790697674418605
Gross Profit Margin (TTM),0.1591,0.20010000000000003,Profitability,0.7951024487756121
Operating Profit Margin (TTM),0.0161,0.033,Profitability,0.48787878787878786
Net Profit Margin (TTM),0.0073,0.0192,Profitability,0.38020833333333337
Annual Dividend Yield,,0.0138,Dividend,
Dividend Change %,,0.0572,Dividend,
"Dividend Growth Rate, 3 Years",,0.053899999999999997,Dividend,
EPS Growth (MRQ),0.4761,-0.6058,Gowth rates,-0.7859029382634534
EPS Growth (TTM),4.1161,0.3755,Gowth rates,10.961651131824235
Revenue Growth (MRQ),0.0102,0.1126,Gowth rates,0.09058614564831262
Revenue Growth (TTM),0.1856,0.10740000000000001,Gowth rates,1.7281191806331468
Return On Equity (TTM),0.053899999999999997,0.2335,Effectiveness,0.23083511777301924
Return On Assets (TTM),0.0183,0.0572,Effectiveness,0.31993006993006995
Return On Investment (TTM),0.023700000000000002,0.1033,Effectiveness,0.22942884801548888
Revenue Per Employee (TTM),1185036.0,518753.0,Effectiveness,2.284393536037382
Total Debt/Total Capital (MRQ),0.5361,0.3837,Financial strength,1.3971853010164192
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0003,Financial strength,-2.666666666666667
Quick Ratio (MRQ),0.8,0.36,Financial strength,2.2222222222222223
Interest Coverage (MRQ),3.57,5.73,Financial strength,0.6230366492146596
