,SM
% Below High,0.23070000000000002
% Held by Institutions,0.8965000000000001
52-Wk Range,['25.23 - 54.97']
Annual Dividend $,0.3
Annual Dividend %,0.0069
Ask,42.3
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,4.5
Bid,42.26
Bid Size,500.0
Day Change $,-1.41
Day Change %,-0.0323
Day High,42.79
Day Low,41.61
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",9.9
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.668
Last (size),10.0
Last (time),2:37p ET 11/28/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.41
Prev Close,43.7
Price,42.29
Short Interest,0.0394
Today's Open,41.75
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-12.80327868852459
Growth 1yr High Est,-25.53125
Growth 1yr Consensus Est,-19.167264344262296
Growth 2yr Low Est,-6.4224726775956285
Growth 2yr High Est,-12.514669585987262
Growth 2yr Consensus Est,-9.468571131791446
Growth 5yr Low Est,-3.2112363387978142
Growth 5yr High Est,-6.257334792993631
Growth 5yr Consensus Est,-4.734285565895723
Growth 5yr Actual/Est,-1.5640813801199434
Growth 3yr Historic,-2.3910778985507246
Price/Earnings (TTM),4.41432
Price/Sales (TTM),1.51489
Price/Book (MRQ),1.87128
Price/Cash Flow (TTM),2.76812
5yr Low,0.9
5yr High,54.97
5yr Avg Return,0.5579
EPS Growth 5yr,
Revenue Growth 5yr,0.173146
Dividend Growth 5yr,-0.27522030000000003
Short Int Current Month,4757808.0
Short Int Prev Month,4845150.0
Short Int Pct of Float,0.0394126
Days to Cover,2.77241
Float,120.7521
Shares Outstanding,122.7961
Institutions Holding Shares,404.0
FCF Growth 5yr,0.55148392049558
"Price/Earnings (TTM, GAAP)",4.41
"PEG Ratio (TTM, GAAP)",0.06
Gross Profit Margin (TTM),0.8268000000000001
Operating Profit Margin (TTM),0.46409999999999996
Net Profit Margin (TTM),0.36090000000000005
Annual Dividend Yield,0.0069
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.4152
EPS Growth (MRQ),0.48840000000000006
EPS Growth (TTM),3.0519
Revenue Growth (MRQ),-0.15789999999999998
Revenue Growth (TTM),0.6962999999999999
Return On Equity (TTM),0.5676
Return On Assets (TTM),0.23870000000000002
Return On Investment (TTM),0.2907
Revenue Per Employee (TTM),7000571.0
Total Debt/Total Capital (MRQ),0.354
Change in Debt/Total Capital Quarter over Quarter,-0.0032
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-10-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
