,APPS
% Above Low,0.627
% Held by Institutions,0.6765000000000001
52-Wk Range,['10.65 - 70.52']
Annual Dividend $,
Annual Dividend %,
Ask,17.35
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,2.3
Bid,17.25
Bid Size,100.0
Closing Price,17.33
Day Change $,0.065
Day Change %,0.0038
Day High,17.38
Day Low,16.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.52
Ex-dividend Date,No dividend
Historical Volatility,1.004
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",33.63
Prev Close,17.27
Short Interest,0.0717
Today's Open,17.24
Volume,1094981.0
Volume 10-day Avg,5267772.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.17469879518072273
Growth 1yr High Est,-0.1428571428571429
Growth 1yr Consensus Est,-0.15877796901893282
Growth 2yr Low Est,-0.0581523172983906
Growth 2yr High Est,0.03273809523809529
Growth 2yr Consensus Est,-0.012707111030147655
Growth 5yr Low Est,2.0264793969063604
Growth 5yr High Est,1.866369047619047
Growth 5yr Consensus Est,1.9464242222627035
Growth 5yr Actual/Est,0.9783020523728033
Growth 3yr Historic,0.9858108108108107
Price/Earnings (TTM),33.63285
Price/Sales (TTM),2.24472
Price/Book (MRQ),2.93895
Price/Cash Flow (TTM),13.51374
5yr Low,1.12
5yr High,102.56
5yr Avg Return,1.510466666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.7942091000000001
Dividend Growth 5yr,
Short Int Current Month,6833512.0
Short Int Prev Month,6516782.0
Short Int Pct of Float,0.07165110000000001
Days to Cover,1.22725
Float,95.14185
Shares Outstanding,99.01683
Institutions Holding Shares,337.0
FCF Growth 5yr,0.46838367593626407
"Price/Earnings (TTM, GAAP)",33.63
"PEG Ratio (TTM, GAAP)",3.36
Gross Profit Margin (TTM),0.483
Operating Profit Margin (TTM),0.1335
Net Profit Margin (TTM),0.0705
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.22
EPS Growth (TTM),-0.0464
Revenue Growth (MRQ),-0.073
Revenue Growth (TTM),0.4415
Return On Equity (TTM),0.10039999999999999
Return On Assets (TTM),0.038700000000000005
Return On Investment (TTM),0.0589
Revenue Per Employee (TTM),905741.0
Total Debt/Total Capital (MRQ),0.433
Change in Debt/Total Capital Quarter over Quarter,0.0079
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.83
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-11-11 00:00:00
marketEdge opinion since,
