,SPLK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),4.19,9.39,Valuation,0.4462193823216188
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7408,0.7206,Profitability,1.0280321953927283
Operating Profit Margin (TTM),-0.2793,0.2172,Profitability,-1.2859116022099446
Net Profit Margin (TTM),-0.3285,0.1553,Profitability,-2.115260785576304
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3171,-0.0752,Gowth rates,-4.216755319148936
EPS Growth (TTM),0.1528,-0.2824,Gowth rates,-0.5410764872521246
Revenue Growth (MRQ),0.185,0.15560000000000002,Gowth rates,1.1889460154241644
Revenue Growth (TTM),0.2601,0.1906,Gowth rates,1.364637985309549
Return On Equity (TTM),-4.4295,0.2189,Effectiveness,-20.235267245317495
Return On Assets (TTM),-0.17739999999999997,0.10740000000000001,Effectiveness,-1.6517690875232771
Return On Investment (TTM),-0.2502,0.1387,Effectiveness,-1.8038932948810382
Revenue Per Employee (TTM),434101.0,667721.0,Effectiveness,0.6501233299536783
Total Debt/Total Capital (MRQ),1.2147000000000001,0.39659999999999995,Financial strength,3.0627836611195165
Change in Debt/Total Capital Quarter over Quarter,0.0047,0.0004,Financial strength,11.75
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-23.59,0.28,Financial strength,-84.24999999999999
