,SPLK
% Above Low,0.1786
% Held by Institutions,0.8351000000000001
52-Wk Range,['65.00 - 150.79']
Annual Dividend $,
Annual Dividend %,
Ask,76.62
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,76.58
Bid Size,200.0
Day Change $,-1.68
Day Change %,-0.0215
Day High,78.39
Day Low,75.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.22
Ex-dividend Date,No dividend
Historical Volatility,0.611
Last (size),100.0
Last (time),3:00p ET 11/28/22
Market Cap,12.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,78.29
Price,76.61
Short Interest,0.0546
Today's Open,76.81
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,-0.6611111111111112
Growth 1yr High Est,-0.2598039215686274
Growth 1yr Consensus Est,-0.4604575163398693
Growth 2yr Low Est,-0.51908014571949
Growth 2yr High Est,0.41976691338787164
Growth 2yr Consensus Est,-0.049656616165809186
Growth 5yr Low Est,-0.259540072859745
Growth 5yr High Est,0.20988345669393582
Growth 5yr Consensus Est,-0.024828308082904593
Growth 5yr Actual/Est,-0.3158655705996133
Growth 3yr Historic,-0.00495647969052232
Price/Earnings (TTM),
Price/Sales (TTM),4.19208
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,65.0
5yr High,225.89
5yr Avg Return,0.034216666666666645
EPS Growth 5yr,
Revenue Growth 5yr,0.23159269999999998
Dividend Growth 5yr,
Short Int Current Month,8140341.0
Short Int Prev Month,8531925.0
Short Int Pct of Float,0.05459869999999999
Days to Cover,4.28598
Float,161.9708
Shares Outstanding,162.7089
Institutions Holding Shares,868.0
FCF Growth 5yr,-2.016507035363483
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7408
Operating Profit Margin (TTM),-0.2793
Net Profit Margin (TTM),-0.3285
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3171
EPS Growth (TTM),0.1528
Revenue Growth (MRQ),0.185
Revenue Growth (TTM),0.2601
Return On Equity (TTM),-4.4295
Return On Assets (TTM),-0.17739999999999997
Return On Investment (TTM),-0.2502
Revenue Per Employee (TTM),434101.0
Total Debt/Total Capital (MRQ),1.2147000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0047
Quick Ratio (MRQ),
Interest Coverage (MRQ),-23.59
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-03-15 00:00:00
theStreet since,2021-03-15 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-03 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
